Name,ApplicationRole,InputParameters,OutputParameters,ResultSets
configuring.usp_DEL_com_obj_attribute,configurator,@id_to_delete:System.Int64,@message:System.String;@transaction_status:System.String,0
configuring.usp_DEL_com_obj_list_name,configurator,@id_to_delete:System.Int64,@message:System.String;@transaction_status:System.String,0
configuring.usp_DEL_doc_date_field_name,configurator,@id_to_delete:System.Int64,@message:System.String;@transaction_status:System.String,0
configuring.usp_DEL_doc_int_field_name,configurator,@id_to_delete:System.Int64,@message:System.String;@transaction_status:System.String,0
configuring.usp_DEL_doc_ms_attr_fg_link,configurator,@docmsattrid:System.Int64;@filtergroupid:System.Int64,@message:System.String;@transaction_status:System.String,0
configuring.usp_DEL_doc_ms_attribute,configurator,@id_to_delete:System.Int64,@message:System.String;@transaction_status:System.String,0
configuring.usp_DEL_doc_ms_list,configurator,@id_to_delete:System.Int64,@message:System.String;@transaction_status:System.String,0
configuring.usp_DEL_doc_radiob_attr,configurator,@id_to_delete:System.Int64,@message:System.String;@transaction_status:System.String,0
configuring.usp_DEL_doc_radiob_list,configurator,@id_to_delete:System.Int64,@message:System.String;@transaction_status:System.String,1
configuring.usp_DEL_doc_rb_attr_fg_link,configurator,@docradiobattrid:System.Int64;@filtergroupid:System.Int64,@message:System.String;@transaction_status:System.String,0
configuring.usp_DEL_doc_real_field_name,configurator,@id_to_delete:System.Int64,@message:System.String;@transaction_status:System.String,0
configuring.usp_DEL_doc_text_field_name,configurator,@id_to_delete:System.Int64,@message:System.String;@transaction_status:System.String,0
configuring.usp_DEL_file_date_field_name,configurator,@id_to_delete:System.Int64,@message:System.String;@transaction_status:System.String,0
configuring.usp_DEL_file_int_field_name,configurator,@id_to_delete:System.Int64,@message:System.String;@transaction_status:System.String,0
configuring.usp_DEL_file_ms_attr_fg_link,configurator,@filemsattrid:System.Int64;@filtergroupid:System.Int64,@message:System.String;@transaction_status:System.String,0
configuring.usp_DEL_file_ms_attribute,configurator,@id_to_delete:System.Int64,@message:System.String;@transaction_status:System.String,0
configuring.usp_DEL_file_ms_list,configurator,@id_to_delete:System.Int64,@message:System.String;@transaction_status:System.String,0
configuring.usp_DEL_file_radiob_attr,configurator,@id_to_delete:System.Int64,@message:System.String;@transaction_status:System.String,0
configuring.usp_DEL_file_radiob_list,configurator,@id_to_delete:System.Int64,@message:System.String;@transaction_status:System.String,0
configuring.usp_DEL_file_rb_attr_fg_link,configurator,@file_radiobattrid:System.Int64;@filtergroupid:System.Int64,@message:System.String;@transaction_status:System.String,0
configuring.usp_DEL_file_real_field_name,configurator,@id_to_delete:System.Int64,@message:System.String;@transaction_status:System.String,0
configuring.usp_DEL_file_text_field_name,configurator,@id_to_delete:System.Int64,@message:System.String;@transaction_status:System.String,0
configuring.usp_DEL_filter_group,configurator,@id_to_delete:System.Int64,@message:System.String;@transaction_status:System.String,0
