TABLE,CREATE,READ,UPDATE,DELETE,PROCESS
[forms].[form_doc_booking_status_links],controlling.usp_INS_fm_doc_bk_stat_link,See: [reading].[usp_SEL_all_form_fields],controlling.usp_UPD_fm_doc_bk_stat_link,controlling.usp_DEL_fm_doc_bk_stat_link,
[forms].[form_doc_booking_id_links],controlling.usp_INS_fm_doc_bk_id_link,See: [reading].[usp_SEL_all_form_fields],controlling.usp_UPD_fm_doc_bk_id_link,controlling.usp_DEL_fm_doc_bk_id_link,
[forms].[form_doc_booking_user_id_links],controlling.usp_INS_fm_doc_bk_usrid_link,See: [reading].[usp_SEL_all_form_fields],controlling.usp_UPD_fm_doc_bk_usrid_link,controlling.usp_DEL_fm_doc_bk_usrid_link,
[forms].[form_doc_booking_usernm_links],controlling.usp_INS_fm_doc_bk_usrnm_link,See: [reading].[usp_SEL_all_form_fields],controlling.usp_UPD_fm_doc_bk_usrnm_link,controlling.usp_DEL_fm_doc_bk_usrnm_link,
[forms].[form_doc_booking_date_links],controlling.usp_INS_fm_doc_bkg_date_link,See: [reading].[usp_SEL_all_form_fields],controlling.usp_UPD_fm_doc_bkg_date_link,controlling.usp_DEL_fm_doc_bkg_date_link,
[forms].[form_doc_booking_comnts_links],controlling.usp_INS_fm_doc_bkg_cmts_link,See: [reading].[usp_SEL_all_form_fields],controlling.usp_UPD_fm_doc_bkg_cmts_link,controlling.usp_DEL_fm_doc_bkg_cmts_link,
[forms].[form_doc_booking_release_links],controlling.usp_INS_fm_doc_bkg_rel_link,See: [reading].[usp_SEL_all_form_fields],controlling.usp_UPD_fm_doc_bkg_rel_link,controlling.usp_DEL_fm_doc_bkg_rel_link,
[forms].[form_doc_com_obj_ms_default],controlling.usp_INS_fm_dc_c_ob_ms_def,"
See: [reading].[usp_SEL_all_form_defaults]",controlling.usp_UPD_fm_dc_c_ob_ms_def,controlling.usp_DEL_fm_dc_c_ob_ms_def,
[forms].[form_doc_com_obj_ms_lst_links],controlling.usp_INS_fm_dc_c_ob_ms_lnk,See: [reading].[usp_SEL_all_form_fields],controlling.usp_UPD_fm_dc_c_ob_ms_lnk,controlling.usp_DEL_fm_dc_c_ob_ms_lnk,
[forms].[form_doc_com_obj_rb_lst_links],controlling.usp_INS_fm_dc_c_ob_rb_lnk,See: [reading].[usp_SEL_all_form_fields],controlling.usp_UPD_fm_dc_c_ob_rb_lnk,controlling.usp_DEL_fm_dc_c_ob_rb_lnk,
[forms].[form_doc_created_links],controlling.usp_INS_form_doc_created_link,See: [reading].[usp_SEL_all_form_fields],controlling.usp_UPD_form_doc_created_link,controlling.usp_DEL_form_doc_created_link,
[forms].[form_doc_date_field_links],controlling.usp_INS_form_doc_date_link,See: [reading].[usp_SEL_all_form_fields],controlling.usp_UPD_form_doc_date_link,controlling.usp_DEL_form_doc_date_link,
[forms].[form_doc_free_text_field_links],controlling.usp_INS_form_doc_free_text_lnk,See: [reading].[usp_SEL_all_form_fields],controlling.usp_UPD_form_doc_free_text_lnk,controlling.usp_DEL_frm_doc_free_txt_link,
[forms].[form_doc_function_links],controlling.usp_INS_frm_doc_funct_links,See: [reading].[usp_SEL_all_form_fields],controlling.usp_UPD_frm_doc_funct_links,controlling.usp_DEL_frm_doc_funct_links,
[forms].[form_doc_function_list_links],controlling.usp_INS_fm_doc_funct_lst_links,See: [reading].[usp_SEL_all_form_fields],controlling.usp_UPD_fm_doc_funct_lst_links,controlling.usp_DEL_fm_doc_funct_lst_links,
[forms].[form_doc_integer_field_links],controlling.usp_INS_form_doc_int_lnk,See: [reading].[usp_SEL_all_form_fields],controlling.usp_UPD_form_doc_int_lnk,controlling.usp_DEL_form_doc_int_link,
[forms].[form_doc_lock_status_links],controlling.usp_INS_form_doc_lock_link,See: [reading].[usp_SEL_all_form_fields],controlling.usp_UPD_form_doc_lock_link,controlling.usp_DEL_form_doc_lock_link,
[forms].[form_doc_multi_sel_defaults],controlling.usp_INS_form_doc_multi_sel_def,"
See: [reading].[usp_SEL_all_form_defaults]",controlling.usp_UPD_form_doc_multi_sel_def,controlling.usp_DEL_form_doc_multi_sel_def,
[forms].[form_doc_multi_sel_list_links],controlling.usp_INS_form_doc_ms_link,See: [reading].[usp_SEL_all_form_fields],controlling.usp_UPD_form_doc_ms_link,controlling.usp_DEL_form_doc_ms_link,
[forms].[form_doc_people_list_links],controlling.usp_INS_frm_doc_ppl_lst_lnks,See: [reading].[usp_SEL_all_form_fields],controlling.usp_UPD_frm_doc_ppl_lst_lnks,controlling.usp_DEL_frm_doc_ppl_lst_lnks,
[forms].[form_doc_user_links],controlling.usp_INS_frm_doc_user_lnks,See: [reading].[usp_SEL_all_form_fields],controlling.usp_UPD_frm_doc_user_lnks,controlling.usp_DEL_frm_doc_user_lnks,
[forms].[form_doc_radio_button_links],controlling.usp_INS_form_doc_radiob_link,See: [reading].[usp_SEL_all_form_fields],controlling.usp_UPD_form_doc_radiob_link,controlling.usp_DEL_form_doc_radiob_link,
[forms].[form_doc_real_number_links],controlling.usp_INS_form_doc_real_link,See: [reading].[usp_SEL_all_form_fields],controlling.usp_UPD_form_doc_real_lnk,controlling.usp_DEL_form_doc_real_link,
[forms].[form_doc_transaction_grp_links],controlling.usp_INS_form_doc_tr_grp_link,See: [reading].[usp_SEL_all_form_fields],controlling.usp_UPD_form_doc_tr_grp_link,controlling.usp_DEL_form_doc_tr_grp_link,
[forms].[form_file_com_obj_ms_defaults],controlling.usp_INS_fm_fl_com_obj_ms_def,"
See: [reading].[usp_SEL_all_form_defaults]",controlling.usp_UPD_fm_fl_com_obj_ms_def,controlling.usp_DEL_fm_fl_com_obj_ms_def,
[forms].[form_file_com_obj_ms_lst_links],controlling.usp_INS_fm_fl_c_ob_ms_lnk,See: [reading].[usp_SEL_all_form_fields],controlling.usp_UPD_fm_fl_c_ob_ms_lnk,controlling.usp_DEL_fm_fl_c_ob_ms_lnk,
[forms].[form_file_com_obj_rb_lst_links],controlling.usp_INS_fm_fl_c_ob_rb_lnk,See: [reading].[usp_SEL_all_form_fields],controlling.usp_UPD_fm_fl_c_ob_rb_lnk,controlling.usp_DEL_fm_fl_c_ob_rb_lnk,
[forms].[form_file_content_hash_links],controlling.usp_INS_form_file_hash_link,See: [reading].[usp_SEL_all_form_fields],controlling.usp_UPD_form_file_hash_link,controlling.usp_DEL_form_file_hash_link,
[forms].[form_file_created_links],controlling.usp_INS_form_file_created_link,See: [reading].[usp_SEL_all_form_fields],controlling.usp_UPD_form_file_created_link,controlling.usp_DEL_form_file_created_link,
[forms].[form_file_created_by_nm_links],controlling.usp_INS_fm_fl_crtd_by_nm_link,See: [reading].[usp_SEL_all_form_fields],controlling.usp_UPD_fm_fl_crtd_by_nm_link,controlling.usp_DEL_fm_fl_crtd_by_nm_link,
[forms].[form_file_created_by_id_links],controlling.usp_INS_fm_fl_crtd_by_id_link,See: [reading].[usp_SEL_all_form_fields],controlling.usp_UPD_fm_fl_crtd_by_id_link,controlling.usp_DEL_fm_fl_crtd_by_id_link,
[forms].[form_doc_created_by_nm_links],controlling.usp_INS_fm_doc_crtd_by_nm_link,See: [reading].[usp_SEL_all_form_fields],controlling.usp_UPD_fm_doc_crtd_by_nm_link,controlling.usp_DEL_fm_doc_crtd_by_nm_link,
[forms].[form_doc_created_by_id_links],controlling.usp_INS_fm_doc_crtd_by_id_link,See: [reading].[usp_SEL_all_form_fields],controlling.usp_UPD_fm_doc_crtd_by_id_link,controlling.usp_DEL_fm_doc_crtd_by_id_link,
[forms].[form_file_date_field_links],controlling.usp_INS_form_file_date_link,See: [reading].[usp_SEL_all_form_fields],controlling.usp_UPD_form_file_date_link,controlling.usp_DEL_form_file_date_link,
[forms].[form_file_free_text_links],controlling.usp_INS_form_file_free_txt_lnk,See: [reading].[usp_SEL_all_form_fields],controlling.usp_UPD_form_file_free_txt_lnk,controlling.usp_DEL_frm_file_free_txt_link,
[forms].[form_file_function_links],controlling.usp_INS_frm_file_funct_links,See: [reading].[usp_SEL_all_form_fields],controlling.usp_UPD_frm_file_funct_links,controlling.usp_DEL_frm_file_funct_links,
[forms].[form_file_function_list_links],controlling.usp_INS_fm_fl_funct_lst_links,See: [reading].[usp_SEL_all_form_fields],controlling.usp_UPD_fm_fl_funct_lst_links,controlling.usp_DEL_fm_fl_funct_lst_links,
[forms].[form_file_integer_field_links],configuring.usp_INS_form_file_int_lnk,See: [reading].[usp_SEL_all_form_fields],controlling.usp_UPD_form_file_int_link,controlling.usp_DEL_form_file_int_link,
[forms].[form_file_multi_sel_defaults],controlling.usp_INS_frm_file_multi_sel_def,"
See: [reading].[usp_SEL_all_form_defaults]",controlling.usp_UPD_frm_file_multi_sel_def,controlling.usp_DEL_frm_file_multi_sel_def,
[forms].[form_file_multi_sel_list_links],controlling.usp_INS_form_file_ms_link,See: [reading].[usp_SEL_all_form_fields],controlling.usp_UPD_form_file_ms_link,controlling.usp_DEL_form_file_ms_link,
[forms].[form_file_name_links],controlling.usp_INS_form_file_name_link,See: [reading].[usp_SEL_all_form_fields],controlling.usp_UPD_form_file_name_link,controlling.usp_DEL_form_file_name_link,
[forms].[form_file_people_list_links],controlling.usp_INS_form_file_plist_links,See: [reading].[usp_SEL_all_form_fields],controlling.usp_UPD_form_file_plist_links,controlling.usp_DEL_form_file_plist_links,
[forms].[form_file_user_links],controlling.usp_INS_frm_file_user_lnks,See: [reading].[usp_SEL_all_form_fields],controlling.usp_UPD_frm_file_user_lnks,controlling.usp_DEL_frm_file_user_lnks,
[forms].[form_file_radiob_links],controlling.usp_INS_form_file_radiob_link,"
See: [reading].[usp_SEL_all_form_defaults]",controlling.usp_UPD_form_file_radiob_link,controlling.usp_DEL_form_file_radiob_link,
[forms].[form_file_real_links],controlling.usp_INS_form_file_real_link,See: [reading].[usp_SEL_all_form_fields],controlling.usp_UPD_form_file_real_link,controlling.usp_DEL_form_file_real_link,
[forms].[form_file_size_links],controlling.usp_INS_form_file_size_link,See: [reading].[usp_SEL_all_form_fields],controlling.usp_UPD_form_file_size_link,controlling.usp_DEL_form_file_size_link,
[forms].[form_file_transactn_grp_links],controlling.usp_INS_form_file_tr_grp_link,See: [reading].[usp_SEL_all_form_fields],controlling.usp_UPD_form_file_tr_grp_link,controlling.usp_DEL_form_file_tr_grp_link,
[forms].[form_file_retention_date_links],controlling.usp_INS_form_file_retentn_link,See: [reading].[usp_SEL_all_form_fields],controlling.usp_UPD_form_file_retentn_link,controlling.usp_DEL_form_file_retentn_link,
[forms].[form_group_names],configuring.usp_INS_form_group_name,"reading.usp_SEL_all_form_groups
reading.usp_SEL_form_group
controlling.usp_SEL_controllers_form_groups ","configuring.usp_UPD_form_group_text
configuring.usp_UPD_form_group_posn",configuring.usp_DEL_form_group_name,
[forms].[form_identifier_names],controlling.usp_INS_form_id_name,"reading.usp_SEL_all_form_names
reading.usp_SEL_form_name
controlling.usp_SEL_controllers_forms
reading.usp_SEL_all_form_fields
reading.usp_SEL_all_form_defaults
reading.usp_SEL_doc_file_form_values
reading.usp_SEL_forms_by_form_group","controlling.usp_UPD_form_id_text
controlling.usp_UPD_form_id_posn","configuring.usp_DEL_any_form_id
controlling.usp_DEL_restricted_form_id",internal.usp_AUTHENTICATE_user_form
[messaging].[language_list],NA,Internal,NA,NA,
[messaging].[message_details],NA,internal.usp_SEL_message,NA,NA,
[messaging].[message_id_list],NA,Internal,NA,NA,
[people].[doc_to_function_links],editing.usp_INS_doc_function_link,"reading.usp_SEL_functions_by_doc
reading.usp_SEL_docs_by_duty_function (filter group applies, files retrieved)
reading.usp_SEL_all_docs_by_dty_funct (no filter group applied, no files retrieved)
reading.usp_SEL_docs_by_funct_fld_name (filter group applies, files retrieved)
reading.usp_SEL_all_dc_by_funct_fld_nm (no filter group applied, no files retrieved)",NA.  Insert and delete only.,editing.usp_DEL_doc_to_function_link,
[people].[doc_to_function_list_links],editing.usp_INS_doc_funct_list_link,"reading.usp_SEL_function_lists_by_doc
reading.usp_SEL_docs_by_function_list (filter group applied)
reading.usp_SEL_all_docs_by_funct_lst (no filter group)
reading.usp_SEL_dc_by_fnct_list_name (filter group applies, files retrieved)
reading.usp_SEL_all_dc_by_fnct_lst_nm (no filter group applies, no files retrieved)",NA.  Insert and delete only.,editing.usp_DEL_doc_funct_list_link,
[people].[doc_to_people_list_links],editing.usp_INS_doc_people_list_link,"reading.usp_SEL_people_lists_by_doc
reading.usp_SEL_docs_by_people_list (filter group applied)
reading.usp_SEL_all_docs_by_people_lst (no filter group applied)
reading.usp_SEL_dc_by_ppl_list_name (filter group applies, files retrieved)
reading.usp_SEL_all_dc_by_ppl_lst_nm (no filter group applies, no files retrieved)",NA.  Insert and delete only.,editing.usp_DEL_doc_people_list_link,
[people].[doc_to_user_links],editing.usp_INS_doc_user_link,"reading.usp_SEL_users_by_doc
reading.usp_SEL_docs_by_user (filter group applied)
reading.usp_SEL_all_docs_by_user (no filter group applied)
reading.usp_SEL_all_docs_for_user (no filter group applied)
reading.usp_SEL_docs_by_user_fgn (filter group applies, files retrieved)
reading.usp_SEL_all_docs_by_user_fgn (no filter group applies, no files retrieved)",NA.  Insert and delete only.,editing.usp_DEL_doc_user_link,
[people].[duty_function_sid_links],controlling.usp_INS_duty_function_sid_link,"reading.usp_SEL_all_duty_fnct_sid_lnks
reading.usp_SEL_duty_functions_by_sid
reading.usp_SEL_sids_by_duty_function",controlling.usp_UPD_duty_function_sid_link,controlling.usp_DEL_duty_function_sid_link,
[people].[duty_functions],controlling.usp_INS_duty_function,"reading.usp_SEL_all_duty_functions
reading.usp_SEL_duty_fnctns_for_user",controlling.usp_UPD_duty_function,controlling.usp_DEL_duty_function,
[people].[file_to_function_links],editing.usp_INS_file_function_link,"reading.usp_SEL_functions_by_file
reading.usp_SEL_files_by_duty_function (filter group applies, files retrieved)
reading.usp_SEL_all_files_by_dty_funct (no filter group applied, no files retrieved)
reading.usp_SEL_files_by_fnct_fld_name (filter group applies, files retrieved)
reading.usp_SEL_all_fl_by_funct_fld_nm (no filter group applied, no files retrieved)",NA.  Insert and delete only.,editing.usp_DEL_file_to_function_link,
[people].[file_to_function_list_links],editing.usp_INS_file_funct_list_link ,"reading.usp_SEL_function_lists_by_file
reading.usp_SEL_files_by_function_list (filter group applied)
reading.usp_SEL_all_files_by_funct_lst (no filter group)
reading.usp_SEL_fl_by_fnct_list_name (filter group applies, files retrieved)
reading.usp_SEL_all_fl_by_fnct_lst_nm (no filter group applies, no files retrieved)",NA.  Insert and delete only.,editing.usp_DEL_file_funct_list_link,
[people].[file_to_people_list_links],editing.usp_INS_file_people_list_link,"reading.usp_SEL_people_lists_by_file
reading.usp_SEL_files_by_people_list (filter group applied)
reading.usp_SEL_all_files_by_pple_list (no filter group applied)
reading.usp_SEL_fl_by_ppl_list_name (filter group applies, files retrieved)
reading.usp_SEL_all_fl_by_ppl_lst_nm (no filter group applies, no files retrieved)",NA.  Insert and delete only.,editing.usp_DEL_file_people_list_link,
[people].[file_to_user_links],editing.usp_INS_file_user_link,"reading.usp_SEL_users_by_file
reading.usp_SEL_files_by_user (filter group applied)
reading.usp_SEL_all_files_by_user (no filter group applied)
reading.usp_SEL_all_files_for_user (no filter group applied)
reading.usp_SEL_files_by_user_fgn (filter group applies, files retrieved)
reading.usp_SEL_all_fl_by_user_fgn (no filter group applies, no files retrieved)",NA.  Insert and delete only.,editing.usp_DEL_file_user_link,
[people].[function_list_names],controlling.usp_INS_function_list_name,reading.usp_SEL_all_function_lst_names,controlling.usp_UPD_function_list_name,controlling.usp_DEL_function_list_name,
[people].[function_lists],controlling.usp_INS_function_list ,"reading.usp_SEL_all_function_lists
reading.usp_SEL_fnct_lists_by_function
reading.usp_SEL_functions_by_f_lists
reading.usp_SEL_fnct_lists_for_user",controlling.usp_UPD_function_list ,controlling.usp_DEL_function_list ,
[people].[general_field_names],configuring.usp_INS_general_field_name,reading.usp_SEL_general_field_names,"configuring.usp_UPD_general_field_name
configuring.usp_UPD_gen_field_name_posn",configuring.usp_DEL_general_field_name,
[people].[people_list_names],"controlling.usp_INS_people_list_name
editing.usp_INS_personal_people_list","controlling.usp_SEL_all_people_list_names
reading.usp_SEL_non_pers_pple_lst_nms
reading.usp_SEL_people_lists_for_user",controlling.usp_UPD_people_list_name,controlling.usp_DEL_people_list_name,
[people].[people_lists],controlling.usp_INS_people_list ,"controlling.usp_SEL_all_people_lists
reading.usp_SEL_persons_by_people_list
reading.usp_SEL_people_lists_by_person",controlling.usp_UPD_people_list ,controlling.usp_DEL_people_list ,
[tagging].[doc_tags],editing.usp_INS_doc_tag,"reading.usp_SEL_all_tags
reading.usp_SEL_tags_with_ed_perm
reading.usp_SEL_tag_by_tag_id
reading.usp_SEL_tags_by_string
reading.usp_SEL_tags_by_tag_group",editing.usp_UPD_doc_tag,editing.usp_DEL_doc_tag,internal.usp_AUTHENTICATE_tag_edit
[tagging].[tag_browsing_tree_names],"controlling.usp_INS_tag_browsing_tree_name
reading.usp_INS_tag_br_tree_nm_indiv","reading.usp_SEL_browsing_tree_names
reading.usp_SEL_brsng_trees_wth_ed_prm
reading.usp_SEL_indiv_browsing_trees
reading.usp_SEL_brsng_trees_by_tag","controlling.usp_UPD_tag_browsing_tree_name
reading.usp_UPD_tag_br_tree_nm_indiv","controlling.usp_DEL_tag_browsing_tree
reading.usp_DEL_indiv_browsing_tree",
[tagging].[tag_browsing_tree_nodes],reading.usp_INS_tag_browsing_tree_node,"reading.usp_SEL_browsing_tree_by_id
reading.usp_SEL_docs_by_br_tree_node (includes relationship tree on/off option.  Includes files and filter group.)
reading.usp_SEL_all_docs_by_br_tr_node (no filter group. No files)","reading.usp_UPD_tag_browsing_tree_node
reading.usp_UPD_tag_br_tree_tag","reading.usp_DEL_tag_br_tree_node
reading.usp_DEL_tag_br_tree_branch",
[tagging].[tag_group_identifier_names],controlling.usp_INS_tag_group_id_name,"reading.usp_SEL_all_tag_group_id_names
reading.usp_SEL_tag_groups_with_ed_perm",controlling.usp_UPD_tag_group_id_name,controlling.usp_DEL_tag_group_id_name,internal.usp_AUTHENTICATE_tag_group
[tagging].[tag_to_document_links],editing.usp_INS_tag_doc_link,"reading.usp_SEL_docs_by_tag (include relationship tree on/off option.  Includes files and filter group.)
reading.usp_SEL_all_docs_by_tag (no filter group. No files)
reading.usp_SEL_tags_by_doc","
editing.usp_UPD_tag_doc_link",editing.usp_DEL_tag_doc_link,
[tagging].[tag_to_tag_group_link],editing.usp_INS_tag_group_link,"reading.usp_SEL_tag_groups_by_tag
reading.usp_SEL_all_tag_group_links",editing.usp_UPD_tag_group_link,editing.usp_DEL_tag_group_link,
[tagging].[tag_tree_names],controlling.usp_INS_tag_tree_name,"reading.usp_SEL_all_tag_tree_names
reading.usp_SEL_tag_trees_with_ed_perm",controlling.usp_UPD_tag_tree_name,controlling.usp_DEL_tag_tree,
[tagging].[tag_tree_nodes],editing.usp_INS_tag_tree_node ,"reading.usp_SEL_tag_tree_by_tree_id
reading.usp_SEL_tag_get_descendants
reading.usp_SEL_tag_get_root
reading.usp_SEL_trees_by_tag
reading.usp_SEL_tree_node
reading.usp_SEL_tag_get_ancestors","editing.usp_UPD_tag_tree_node
editing.usp_UPD_tag_tree_tag","editing.usp_DEL_tag_tree_node
editing.usp_DEL_tag_tree_branch",
[user_restr].[authoriser_privilege_requests],"authorising.usp_INS_grant_authoriser
authorising.usp_INS_revoke_authoriser","authorising.usp_SEL_authoriser_requests
authorising.usp_SEL_privileges_by_user",authorising.usp_UPD_cancel_authoriser_requ,NA,
[user_restr].[authorisers],NA,authorising.usp_SEL_authorisers,NA,NA,"internal.usp_AUTHORISE_authoriser
internal.usp_REVOKE_authoriser"
[user_restr].[controller_doc_group_sid_links],authorising.usp_AUTHORISE_contr_dc_grp_usr,authorising.usp_SEL_contr_doc_group_sids,authorising.usp_UPD_contr_doc_group_sid,authorising.usp_DEL_contr_doc_group_sid,
[user_restr].[controller_file_grp_sid_links],authorising.usp_AUTHORISE_contr_fl_grp_usr,authorising.usp_SEL_contr_file_group_sids,authorising.usp_UPD_contr_file_group_sid,authorising.usp_DEL_contr_file_group_sid,
[user_restr].[doc_group_edit_perm_funct_lst],controlling.usp_INS_doc_gp_ed_perm_funct,"controlling.usp_SEL_f_list_by_doc_group
controlling.usp_SEL_doc_groups_by_f_list
controlling.usp_SEL_dg_ed_perm_funct_list",controlling.usp_UPD_dc_gp_ed_prm_fct_notes,controlling.usp_DEL_doc_gp_ed_perm_funct,"internal.usp_AUTHENTICATE_doc_ed_perm
reading.usp_CHECK_doc_ed_permission"
[user_restr].[doc_group_edit_perm_people_lst],controlling.usp_INS_doc_gp_ed_perm_people,"controlling.usp_SEL_p_lists_by_doc_group
controlling.usp_SEL_doc_groups_by_p_list
controlling.usp_SEL_dg_ed_perm_people_list",controlling.usp_UPD_dc_gp_ed_prm_ppl_notes,controlling.usp_DEL_doc_gp_ed_perm_people,
[user_restr].[doc_group_view_permissions],authorising.usp_AUTHORISE_doc_group_viewer,authorising.usp_SEL_all_doc_group_viewers,authorising.usp_UPD_doc_grp_viewer_notes,authorising.usp_DEL_doc_group_viewer_perm,internal.usp_AUTHENTICATE_user_file_id
[user_restr].[file_group_edit_perm_funct_lst],controlling.usp_INS_file_gp_ed_perm_funct,"controlling.usp_SEL_fgepfl_by_file_group
controlling.usp_SEL_file_groups_by_fgepfl
controlling.usp_SEL_file_grp_ed_prm_f_lsts",controlling.usp_UPD_fl_gp_ed_prm_fct_notes,controlling.usp_DEL_file_gp_ed_perm_funct,"internal.usp_AUTHENTICATE_file_ed_perm
reading.usp_CHECK_file_ed_permission"
[user_restr].[file_group_edit_perm_ppl_lst],controlling.usp_INS_file_gp_ed_perm_people,"controlling.usp_SEL_fgeppl_by_file_group
controlling.usp_SEL_file_grp_ed_prm_p_lsts
controlling.usp_SEL_file_groups_by_fgeppl",controlling.usp_UPD_fl_gp_ed_prm_ppl_notes,controlling.usp_DEL_file_gp_ed_perm_people,
[user_restr].[form_group_owners],authorising.usp_AUTHORISE_form_group_owner ,authorising.usp_SEL_all_form_group_owners,authorising.usp_UPD_form_group_owner,authorising.usp_DEL_form_group_owner,
[user_restr].[role_list],NA,reading.usp_SEL_privileges,NA,NA,
[user_restr].[sid_list],reading.usp_INS_self_onboard_sid,"controlling.usp_SEL_all_sid_list
controlling.usp_SEL_all_recent_sids
controlling.usp_SEL_sid_by_username","
controlling.usp_UPD_sid
authorising.usp_UPD_restore_sid",authorising.usp_DEL_sid,
[user_restr].[tag_br_tree_permissions_flist],controlling.usp_INS_tag_br_tr_perm_flist,reading.usp_SEL_tag_br_tr_perm_flists,controlling.usp_UPD_tag_br_tr_perm_flist,controlling.usp_DEL_tag_br_tr_perm_flist,internal.usp_AUTHENTICATE_tag_br_tree
[user_restr].[tag_br_tree_permissions_plist],controlling.usp_INS_tag_br_tr_perm_plist,reading.usp_SEL_tag_br_tr_perm_plists,controlling.usp_UPD_tag_br_tr_perm_plist,controlling.usp_DEL_tag_br_tr_perm_plist,
[user_restr].[tag_group_permissions_flist],controlling.usp_INS_tag_group_perm_flist,reading.usp_SEL_tag_group_perm_flists,controlling.usp_UPD_tag_group_perm_flist,controlling.usp_DEL_tag_group_perm_flist,
[user_restr].[tag_group_permissions_plist],controlling.usp_INS_tag_group_perm_plist,reading.usp_SEL_tag_group_perm_plists,controlling.usp_UPD_tag_group_perm_plist,controlling.usp_DEL_tag_group_perm_plist,
[user_restr].[tag_link_permissions_flist],controlling.usp_INS_tag_link_perm_flist,reading.usp_SEL_tag_link_perm_flists,controlling.usp_UPD_tag_link_perm_flist,controlling.usp_DEL_tag_link_perm_flist,
[user_restr].[tag_link_permissions_plist],controlling.usp_INS_tag_link_perm_plist,reading.usp_SEL_tag_link_perm_plists,controlling.usp_UPD_tag_link_perm_plist,controlling.usp_DEL_tag_link_perm_plist,
