Stored procedure,Authentication,Input Parameters,Data Type,"OptionalOrMandatory
",Output Parameters,Data Type,Alias,Data Type,Description
[authorising].[usp_SEL_all_doc_group_viewers],,,,,@numrows,bigint,System Username,nvarchar(128),
[authorising].[usp_SEL_all_doc_group_viewers],,,,,,,Doc Group ID,bigint,
[authorising].[usp_SEL_all_doc_group_viewers],,,,,,,Doc Group Name,nvarchar(50),
[authorising].[usp_SEL_all_doc_group_viewers],,,,,,,Notes,nvarchar(max),
[authorising].[usp_SEL_all_doc_group_viewers],,,,,,,Created,nvarchar(30),
[authorising].[usp_SEL_all_doc_group_viewers],,,,,,,Granted By,nvarchar(128),
[authorising].[usp_SEL_all_doc_group_viewers],,,,,,,Windows Account Current,nvarchar(5),
[authorising].[usp_SEL_all_form_group_owners],Authoriser,,,,@message,nvarchar(1000),User ID,bigint,Lists all form group owners.
[authorising].[usp_SEL_all_form_group_owners],,,,,@transaction_status,nvarchar(50),Database Username,nvarchar(150),
[authorising].[usp_SEL_all_form_group_owners],,,,,,,System Username,nvarchar(128),
[authorising].[usp_SEL_all_form_group_owners],,,,,,,Form Group ID,bigint,
[authorising].[usp_SEL_all_form_group_owners],,,,,,,Form Group Name,nvarchar(50),
[authorising].[usp_SEL_all_form_group_owners],,,,,,,Notes,nvarchar(max),
[authorising].[usp_SEL_all_form_group_owners],,,,,,,Created,nvarchar(30),
[authorising].[usp_SEL_all_form_group_owners],,,,,,,Granted By,nvarchar(128),
[authorising].[usp_SEL_all_form_group_owners],,,,,,,Windows Account Current,nvarchar(5),
[authorising].[usp_SEL_all_user_roles],Authoriser,,,,@message,nvarchar(1000),Role Name,nvarchar(50),Selects all records of user role permissions from the user_role_link table.
[authorising].[usp_SEL_all_user_roles],,,,,@transaction_status,nvarchar(50),User ID,bigint,
[authorising].[usp_SEL_all_user_roles],,,,,@numrows,bigint,Database Username,nvarchar(150),
[authorising].[usp_SEL_all_user_roles],,,,,,,System Username,nvarchar(128),
[authorising].[usp_SEL_all_user_roles],,,,,,,Description,nvarchar(max),
[authorising].[usp_SEL_all_user_roles],,,,,,,Created,nvarchar(30),
[authorising].[usp_SEL_all_user_roles],,,,,,,Granted By,nvarchar(128),
[authorising].[usp_SEL_authorisers],Authoriser,,,,@message,nvarchar(1000),User ID,bigint,Lists all authorisers.
[authorising].[usp_SEL_authorisers],,,,,@transaction_status,nvarchar(50),Database Username,nvarchar(200),
[authorising].[usp_SEL_authorisers],,,,,,,Description,nvarchar(150),
[authorising].[usp_SEL_authorisers],,,,,,,System Username,nvarchar(128),
[authorising].[usp_SEL_authorisers],,,,,,,User ID Created,nvarchar(30),
[authorising].[usp_SEL_authorisers],,,,,,,Notes,nvarchar(max),
[authorising].[usp_SEL_authorisers],,,,,,,Grant Created,nvarchar(30),
[authorising].[usp_SEL_authorisers],,,,,,,Windows Account Current,nvarchar(5),
[authorising].[usp_SEL_authoriser_requests],Authoriser,,,,@message,nvarchar(1000),Request ID,bigint,Lists all the records of requests for granting or revoking authoriser privileges.
[authorising].[usp_SEL_authoriser_requests],,,,,@transaction_status,nvarchar(50),User ID,bigint,
[authorising].[usp_SEL_authoriser_requests],,,,,,,Type,nvarchar(20),
[authorising].[usp_SEL_authoriser_requests],,,,,,,System Username,nvarchar(128),
[authorising].[usp_SEL_authoriser_requests],,,,,,,Approver 1 User ID,bigint,
[authorising].[usp_SEL_authoriser_requests],,,,,,,Approver 1,nvarchar(128),
[authorising].[usp_SEL_authoriser_requests],,,,,,,First Approval,nvarchar(30),
[authorising].[usp_SEL_authoriser_requests],,,,,,,Approver 2 User ID,bigint,
[authorising].[usp_SEL_authoriser_requests],,,,,,,Approver 2,nvarchar(128),
[authorising].[usp_SEL_authoriser_requests],,,,,,,Second Approval,nvarchar(30),
[authorising].[usp_SEL_authoriser_requests],,,,,,,Status,nvarchar(20),
[authorising].[usp_SEL_contr_doc_group_names],Authoriser,,,,@message,nvarchar(1000),Controller Doc Group ID,bigint,Reads all controller level document edit groups. 
[authorising].[usp_SEL_contr_doc_group_names],,,,,@transaction_status,nvarchar(50),Mnemonic,nvarchar(10),
[authorising].[usp_SEL_contr_doc_group_names],,,,,@numrows,bigint,Controller Doc Group Name,nvarchar(50),
[authorising].[usp_SEL_contr_doc_group_names],,,,,,,Description,nvarchar(max),
[authorising].[usp_SEL_contr_doc_group_names],,,,,,,Created,nvarchar(30),
[authorising].[usp_SEL_contr_doc_group_names],,,,,,,Created By,nvarchar(128),
[authorising].[usp_SEL_contr_doc_group_sids],Authoriser,@contr_doc_ed_grp_name_id,bigint,Mandatory,@message,nvarchar(1000),Controller Doc Group ID,bigint,Lists all of the users for a given controller level document group.
[authorising].[usp_SEL_contr_doc_group_sids],,,,,@transaction_status,nvarchar(50),User ID,bigint,
[authorising].[usp_SEL_contr_doc_group_sids],,,,,@numrecords,bigint,Database Username,nvarchar(150),
[authorising].[usp_SEL_contr_doc_group_sids],,,,,,,System Username,nvarchar(128),
[authorising].[usp_SEL_contr_doc_group_sids],,,,,,,Created,nvarchar(30),
[authorising].[usp_SEL_contr_doc_group_sids],,,,,,,Granted By,nvarchar(128),
[authorising].[usp_SEL_contr_doc_group_sids],,,,,,,Notes,nvarchar(max),
[authorising].[usp_SEL_contr_doc_group_sids],,,,,,,Windows Account Current,nvarchar(5),
[authorising].[usp_SEL_contr_file_group_names],Authoriser,,,,@message,nvarchar(1000),Controller File Group ID,bigint,Reads all controller level file edit groups. 
[authorising].[usp_SEL_contr_file_group_names],,,,,@transaction_status,nvarchar(50),Mnemonic,nvarchar(10),
[authorising].[usp_SEL_contr_file_group_names],,,,,@numrows,bigint,Controller File Group Name,nvarchar(50),
[authorising].[usp_SEL_contr_file_group_names],,,,,,,Description,nvarchar(max),
[authorising].[usp_SEL_contr_file_group_names],,,,,,,Created,nvarchar(30),
[authorising].[usp_SEL_contr_file_group_names],,,,,,,Created By,nvarchar(128),
[authorising].[usp_SEL_contr_file_group_sids],Authoriser,@contr_file_ed_grp_name_id,bigint,Mandatory,@message,nvarchar(1000),Controller File Group ID,bigint,Lists all of the users for a given controller level file group.
[authorising].[usp_SEL_contr_file_group_sids],,,,,@transaction_status,nvarchar(50),User ID,bigint,
[authorising].[usp_SEL_contr_file_group_sids],,,,,@numrecords,bigint,Database Username,nvarchar(150),
[authorising].[usp_SEL_contr_file_group_sids],,,,,,,System Username,nvarchar(128),
[authorising].[usp_SEL_contr_file_group_sids],,,,,,,Created,nvarchar(30),
[authorising].[usp_SEL_contr_file_group_sids],,,,,,,Granted By,nvarchar(128),
[authorising].[usp_SEL_contr_file_group_sids],,,,,,,Notes,nvarchar(max),
[authorising].[usp_SEL_contr_file_group_sids],,,,,,,Windows Account Current,nvarchar(5),
[authorising].[usp_SEL_privileges_by_user],Authoriser,@userid,bigint,Mandatory,@message,nvarchar(1000),Privilege Type,nvarchar(50),Selects all the privileges for a given user.
[authorising].[usp_SEL_privileges_by_user],,,,,@transaction_status,nvarchar(50),Privilege ID,bigint,
[authorising].[usp_SEL_privileges_by_user],,,,,,,Privilege Name,nvarchar(50),
[authorising].[usp_SEL_privileges_by_user],,,,,,,Granted On,datetime2(7),
[authorising].[usp_SEL_privileges_by_user],,,,,,,Granted By,nvarchar(128),
[authorising].[usp_SEL_roles_by_user],Authoriser,@userid,bigint,Mandatory,@message,nvarchar(1000),Role Name,nvarchar(50),Select all roles for a given user (not including authoriser role).
[authorising].[usp_SEL_roles_by_user],,,,,@transaction_status,nvarchar(50),Created,nvarchar(30),
[authorising].[usp_SEL_roles_by_user],,,,,,,Granted By,nvarchar(128),
[authorising].[usp_SEL_users_by_role],Authoriser,@rolename,nvarchar(50),Mandatory,@message,nvarchar(1000),Role Name,bigint,Select all users for a given role (not including authorisers).
[authorising].[usp_SEL_users_by_role],,,,,@transaction_status,nvarchar(50),User ID,bigint,
[authorising].[usp_SEL_users_by_role],,,,,,,Database Username,nvarchar(150),
[authorising].[usp_SEL_users_by_role],,,,,,,System Username,nvarchar(128),
[authorising].[usp_SEL_users_by_role],,,,,,,Created,nvarchar(30),
[authorising].[usp_SEL_users_by_role],,,,,,,Granted By,nvarchar(128),
[authorising].[usp_SEL_users_by_role],,,,,,,Windows Account Current,nvarchar(5),
[authorising].[usp_SEL_revoke_log],Authoriser,,,,@message,nvarchar(1000),Privilege,nvarchar(50),Lists the privilege revoke log.
[authorising].[usp_SEL_revoke_log],,,,,@transaction_status,nvarchar(50),Privilege Name,nvarchar(50),
[authorising].[usp_SEL_revoke_log],,,,,,,User ID,bigint,
[authorising].[usp_SEL_revoke_log],,,,,,,System Username,nvarchar(128),
