Stored procedure,Authentication,Input Parameters,Data Type,"OptionalOrMandatory
",Output Parameters,Data Type,Alias,Data Type,Description
[controlling].[usp_INS_form_file_int_lnk],,@attribute2,nvarchar(50),Optional,,,,,
[controlling].[usp_INS_form_file_int_lnk],,@attribute3,nvarchar(50),Optional,,,,,
[controlling].[usp_INS_form_file_ms_link] ,Controller; Configurator,@formid,bigint,Mandatory,@message,nvarchar(1000),,,Inserts a form to file multi select list link.
[controlling].[usp_INS_form_file_ms_link] ,,@filemultiselectlistid,bigint,Mandatory,@transaction_status,nvarchar(50),,,
[controlling].[usp_INS_form_file_ms_link] ,,@ismandatory,nchar(3),Optional,,,,,
[controlling].[usp_INS_form_file_ms_link] ,,@fieldlength,smallint,Optional,,,,,
[controlling].[usp_INS_form_file_ms_link] ,,@formposition,nvarchar(50),Optional,,,,,
[controlling].[usp_INS_form_file_ms_link] ,,@attribute1,nvarchar(50),Optional,,,,,
[controlling].[usp_INS_form_file_ms_link] ,,@attribute2,nvarchar(50),Optional,,,,,
[controlling].[usp_INS_form_file_ms_link] ,,@attribute3,nvarchar(50),Optional,,,,,
[controlling].[usp_INS_form_file_name_link] ,Controller; Configurator,@formid,bigint,Mandatory,@message,nvarchar(1000),,,Inserts a form to file filename link.
[controlling].[usp_INS_form_file_name_link] ,,@ismandatory,nchar(3),Optional,@transaction_status,nvarchar(50),,,
[controlling].[usp_INS_form_file_name_link] ,,@fieldlength,smallint,Optional,,,,,
[controlling].[usp_INS_form_file_name_link] ,,@formposition,nvarchar(50),Optional,,,,,
[controlling].[usp_INS_form_file_name_link] ,,@attribute1,nvarchar(50),Optional,,,,,
[controlling].[usp_INS_form_file_name_link] ,,@attribute2,nvarchar(50),Optional,,,,,
[controlling].[usp_INS_form_file_name_link] ,,@attribute3,nvarchar(50),Optional,,,,,
[controlling].[usp_INS_form_file_plist_links],Controller; Configurator,@formid,bigint,Mandatory,@message,nvarchar(1000),,,Inserts a form to file people list link.
[controlling].[usp_INS_form_file_plist_links],,@genfield_nameid,bigint,Mandatory,@transaction_status,nvarchar(50),,,
[controlling].[usp_INS_form_file_plist_links],,@ismandatory,nchar(3),Optional,,,,,
[controlling].[usp_INS_form_file_plist_links],,@fieldlength,smallint,Optional,,,,,
[controlling].[usp_INS_form_file_plist_links],,@formposition,nvarchar(50),Optional,,,,,
[controlling].[usp_INS_form_file_plist_links],,@attribute1,nvarchar(50),Optional,,,,,
[controlling].[usp_INS_form_file_plist_links],,@attribute2,nvarchar(50),Optional,,,,,
[controlling].[usp_INS_form_file_plist_links],,@attribute3,nvarchar(50),Optional,,,,,
[controlling].[usp_INS_form_file_radiob_link],Controller; Configurator,@formid,bigint,Mandatory,@message,nvarchar(1000),,,Inserts a form to file radio button list link.
[controlling].[usp_INS_form_file_radiob_link],,@file_radioblistid,bigint,Mandatory,@transaction_status,nvarchar(50),,,
[controlling].[usp_INS_form_file_radiob_link],,@ismandatory,nchar(3),Optional,,,,,
[controlling].[usp_INS_form_file_radiob_link],,@fieldlength,smallint,Optional,,,,,
[controlling].[usp_INS_form_file_radiob_link],,@formposition,nvarchar(50),Optional,,,,,
[controlling].[usp_INS_form_file_radiob_link],,@attribute1,nvarchar(50),Optional,,,,,
[controlling].[usp_INS_form_file_radiob_link],,@attribute2,nvarchar(50),Optional,,,,,
[controlling].[usp_INS_form_file_radiob_link],,@attribute3,nvarchar(50),Optional,,,,,
[controlling].[usp_INS_form_file_radiob_link],,@defaultfile_rb_attrid,bigint,Optional,,,,,
[controlling].[usp_INS_form_file_real_link],Controller; Configurator,@formid,bigint,Mandatory,@message,nvarchar(1000),,,Inserts a form to file real number link.
[controlling].[usp_INS_form_file_real_link],,@filerealnameid,bigint,Mandatory,@transaction_status,nvarchar(50),,,
[controlling].[usp_INS_form_file_real_link],,@ismandatory,nchar(3),Optional,,,,,
[controlling].[usp_INS_form_file_real_link],,@fieldlength,smallint,Optional,,,,,
[controlling].[usp_INS_form_file_real_link],,@formposition,nvarchar(50),Optional,,,,,
[controlling].[usp_INS_form_file_real_link],,@attribute1,nvarchar(50),Optional,,,,,
[controlling].[usp_INS_form_file_real_link],,@attribute2,nvarchar(50),Optional,,,,,
[controlling].[usp_INS_form_file_real_link],,@attribute3,nvarchar(50),Optional,,,,,
[controlling].[usp_INS_form_file_size_link],Controller; Configurator,@formid,bigint,Mandatory,@message,nvarchar(1000),,,Inserts a form to file size link.
[controlling].[usp_INS_form_file_size_link],,@fieldlength,smallint,Optional,@transaction_status,nvarchar(50),,,
[controlling].[usp_INS_form_file_size_link],,@formposition,nvarchar(50),Optional,,,,,
[controlling].[usp_INS_form_file_size_link],,@attribute1,nvarchar(50),Optional,,,,,
[controlling].[usp_INS_form_file_size_link],,@attribute2,nvarchar(50),Optional,,,,,
[controlling].[usp_INS_form_file_size_link],,@attribute3,nvarchar(50),Optional,,,,,
[controlling].[usp_INS_form_file_tr_grp_link],Controller; Configurator,@formid,bigint,Mandatory,@message,nvarchar(1000),,,Inserts a form to file transaction group link.
[controlling].[usp_INS_form_file_tr_grp_link],,@ismandatory,nchar(3),Optional,@transaction_status,nvarchar(50),,,
[controlling].[usp_INS_form_file_tr_grp_link],,@fieldlength,smallint,Optional,,,,,
[controlling].[usp_INS_form_file_tr_grp_link],,@formposition,nvarchar(50),Optional,,,,,
[controlling].[usp_INS_form_file_tr_grp_link],,@attribute1,nvarchar(50),Optional,,,,,
[controlling].[usp_INS_form_file_tr_grp_link],,@attribute2,nvarchar(50),Optional,,,,,
[controlling].[usp_INS_form_file_tr_grp_link],,@attribute3,nvarchar(50),Optional,,,,,
[controlling].[usp_INS_form_id_name],Controller; Configurator,@mnemonic,nvarchar(10),Optional,@message,nvarchar(1000),,,Creates a form identifier record.
[controlling].[usp_INS_form_id_name],,@formname ,nvarchar(50),Mandatory,@transaction_status,nvarchar(50),,,If the connected user is a controller but not a configurator then the form ID must
[controlling].[usp_INS_form_id_name],,@description,nvarchar(max),Optional,@newrecordid,bigint,,,be owned by the connected user.
[controlling].[usp_INS_form_id_name],,@listposition,int,Optional,,,,,
[controlling].[usp_INS_form_id_name],,@formgroupid,bigint,Optional,,,,,
[controlling].[usp_INS_frm_doc_funct_links],Controller; Configurator,@formid,bigint,Mandatory,@message,nvarchar(1000),,,Inserts a form to document duty function link.
[controlling].[usp_INS_frm_doc_funct_links],,@genfield_nameid,bigint,Mandatory,@transaction_status,nvarchar(50),,,
[controlling].[usp_INS_frm_doc_funct_links],,@ismandatory,nchar(3),Optional,,,,,
[controlling].[usp_INS_frm_doc_funct_links],,@fieldlength,smallint,Optional,,,,,
[controlling].[usp_INS_frm_doc_funct_links],,@formposition,nvarchar(50),Optional,,,,,
[controlling].[usp_INS_frm_doc_funct_links],,@attribute1,nvarchar(50),Optional,,,,,
[controlling].[usp_INS_frm_doc_funct_links],,@attribute2,nvarchar(50),Optional,,,,,
[controlling].[usp_INS_frm_doc_funct_links],,@attribute3,nvarchar(50),Optional,,,,,
[controlling].[usp_INS_frm_doc_ppl_lst_lnks],Controller; Configurator,@formid,bigint,Mandatory,@message,nvarchar(1000),,,Inserts a form to document people list link.
[controlling].[usp_INS_frm_doc_ppl_lst_lnks],,@genfield_nameid,bigint,Mandatory,@transaction_status,nvarchar(50),,,
[controlling].[usp_INS_frm_doc_ppl_lst_lnks],,@ismandatory,nchar(3),Optional,,,,,
[controlling].[usp_INS_frm_doc_ppl_lst_lnks],,@fieldlength,smallint,Optional,,,,,
[controlling].[usp_INS_frm_doc_ppl_lst_lnks],,@formposition,nvarchar(50),Optional,,,,,
[controlling].[usp_INS_frm_doc_ppl_lst_lnks],,@attribute1,nvarchar(50),Optional,,,,,
[controlling].[usp_INS_frm_doc_ppl_lst_lnks],,@attribute2,nvarchar(50),Optional,,,,,
[controlling].[usp_INS_frm_doc_ppl_lst_lnks],,@attribute3,nvarchar(50),Optional,,,,,
[controlling].[usp_INS_frm_file_funct_links] ,Controller; Configurator,@formid,bigint,Mandatory,@message,nvarchar(1000),,,Inserts a form to file duty function link.
[controlling].[usp_INS_frm_file_funct_links] ,,@genfield_nameid,bigint,Mandatory,@transaction_status,nvarchar(50),,,
[controlling].[usp_INS_frm_file_funct_links] ,,@ismandatory,nchar(3),Optional,,,,,
[controlling].[usp_INS_frm_file_funct_links] ,,@fieldlength,smallint,Optional,,,,,
[controlling].[usp_INS_frm_file_funct_links] ,,@formposition,nvarchar(50),Optional,,,,,
[controlling].[usp_INS_frm_file_funct_links] ,,@attribute1,nvarchar(50),Optional,,,,,
[controlling].[usp_INS_frm_file_funct_links] ,,@attribute2,nvarchar(50),Optional,,,,,
[controlling].[usp_INS_frm_file_funct_links] ,,@attribute3,nvarchar(50),Optional,,,,,
[controlling].[usp_INS_frm_doc_user_lnks],Controller; Configurator,@formid,bigint,Mandatory,@message,nvarchar(1000),,,Inserts a form to document to user ID link.
[controlling].[usp_INS_frm_doc_user_lnks],,@genfield_nameid,bigint,Mandatory,@transaction_status,nvarchar(50),,,
[controlling].[usp_INS_frm_doc_user_lnks],,@ismandatory,nchar(3),Optional,,,,,
[controlling].[usp_INS_frm_doc_user_lnks],,@fieldlength,smallint,Optional,,,,,
[controlling].[usp_INS_frm_doc_user_lnks],,@formposition,nvarchar(50),Optional,,,,,
[controlling].[usp_INS_frm_doc_user_lnks],,@attribute1,nvarchar(50),Optional,,,,,
[controlling].[usp_INS_frm_doc_user_lnks],,@attribute2,nvarchar(50),Optional,,,,,
[controlling].[usp_INS_frm_doc_user_lnks],,@attribute3,nvarchar(50),Optional,,,,,
[controlling].[usp_INS_frm_file_user_lnks],Controller; Configurator,@formid,bigint,Mandatory,@message,nvarchar(1000),,,Inserts a form to file to user ID link.
[controlling].[usp_INS_frm_file_user_lnks],,@genfield_nameid,bigint,Mandatory,@transaction_status,nvarchar(50),,,
[controlling].[usp_INS_frm_file_user_lnks],,@ismandatory,nchar(3),Optional,,,,,
[controlling].[usp_INS_frm_file_user_lnks],,@fieldlength,smallint,Optional,,,,,
[controlling].[usp_INS_frm_file_user_lnks],,@formposition,nvarchar(50),Optional,,,,,
[controlling].[usp_INS_frm_file_user_lnks],,@attribute1,nvarchar(50),Optional,,,,,
[controlling].[usp_INS_frm_file_user_lnks],,@attribute2,nvarchar(50),Optional,,,,,
[controlling].[usp_INS_frm_file_user_lnks],,@attribute3,nvarchar(50),Optional,,,,,
[controlling].[usp_INS_frm_file_multi_sel_def],Controller; Configurator,@formid,bigint,Mandatory,@message,nvarchar(1000),,,Creates a default record for a form file multi-select object.
[controlling].[usp_INS_frm_file_multi_sel_def],,@filemslistid,bigint,Mandatory,@transaction_status,nvarchar(50),,,Restricted to forms which the controller has access permission for.
[controlling].[usp_INS_frm_file_multi_sel_def],,@filemsattrid,bigint,Mandatory,,,,,
[controlling].[usp_INS_function_list ],Controller,@functionlistid,bigint,Mandatory,@message,nvarchar(1000),,,Inserts a record to create a duty function list element.
[controlling].[usp_INS_function_list ],,@functionid,bigint,Mandatory,@transaction_status,nvarchar(50),,,
[controlling].[usp_INS_function_list ],,@listposition,smallint,Optional,,,,,
[controlling].[usp_INS_function_list_name],Controller,@mnemonic,nvarchar(10),Optional,@message,nvarchar(1000),,,Create a new duty function list.
[controlling].[usp_INS_function_list_name],,@functionlist_name,nvarchar(50),Mandatory,@transaction_status,nvarchar(50),,,
[controlling].[usp_INS_function_list_name],,@description,nvarchar(max),Optional,@newrecordid,bigint,,,
[controlling].[usp_INS_people_list],Controller,@peoplelistid,bigint,Mandatory,@message,nvarchar(1000),,,Creates a new record in the people lists table.
[controlling].[usp_INS_people_list],,@sidid,bigint,Mandatory,@transaction_status,nvarchar(50),,,
[controlling].[usp_INS_people_list],,@listposition,smallint,Optional,,,,,
[controlling].[usp_UPD_people_list],Controller,@peoplelistid,bigint,Mandatory,@message,nvarchar(1000),,,Updates the list position and filter group of a people list record.
[controlling].[usp_UPD_people_list],,@sidid,bigint,Mandatory,@transaction_status,nvarchar(50),,,
[controlling].[usp_UPD_people_list],,@listposition,smallint,Optional,,,,,
[controlling].[usp_INS_people_list_name],Controller,@mnemonic,nvarchar(10),Optional,@message,nvarchar(1000),,,Create a new people list.
[controlling].[usp_INS_people_list_name],,@peoplelist_name,nvarchar(50),Mandatory,@transaction_status,nvarchar(50),,,
[controlling].[usp_INS_people_list_name],,@description,nvarchar(max),Optional,@newrecordid,bigint,,,
[controlling].[usp_INS_tag_br_tr_perm_flist],Controller,@tag_br_treeid,bigint,Mandatory,@message,nvarchar(1000),,,Creates a new record to authorise function list members to edit a tag browsing tree.
[controlling].[usp_INS_tag_br_tr_perm_flist],,@functionlistid,bigint,Mandatory,@transaction_status,nvarchar(50),,,
[controlling].[usp_INS_tag_br_tr_perm_plist],Controller,@tag_br_treeid,bigint,Mandatory,@message,nvarchar(1000),,,Creates a new record to authorise people list members to edit a tag browsing tree.
[controlling].[usp_INS_tag_br_tr_perm_plist],,@peoplelistid,bigint,Mandatory,@transaction_status,nvarchar(50),,,
[controlling].[usp_INS_tag_browsing_tree_name],Controller,@mnemonic,nvarchar(10),Optional,@message,nvarchar(1000),,,Creates a tag browsing tree name.
[controlling].[usp_INS_tag_browsing_tree_name],,@browsing_tree_name,nvarchar(50),Mandatory,@transaction_status,nvarchar(50),,,
[controlling].[usp_INS_tag_browsing_tree_name],,@description,nvarchar(max),Optional,@newrecordid,bigint,,,
[controlling].[usp_INS_tag_browsing_tree_name],,@listposition,int,Optional,,,,,
[controlling].[usp_INS_tag_group_id_name],Controller,@mnemonic,nvarchar(10),Optional,@message,nvarchar(1000),,,Creates a tag group identifier name record.
[controlling].[usp_INS_tag_group_id_name],,@tag_group_name,nvarchar(50),Mandatory,@transaction_status,nvarchar(50),,,
[controlling].[usp_INS_tag_group_id_name],,@description,nvarchar(max),Optional,@newrecordid,bigint,,,
[controlling].[usp_INS_tag_group_id_name],,@listposition,int,Optional,,,,,
[controlling].[usp_INS_tag_group_id_name],,@functionlistid,bigint,Optional,,,,,
[controlling].[usp_INS_tag_group_id_name],,@peoplelistid,bigint,Optional,,,,,
[controlling].[usp_INS_tag_group_perm_flist],Controller,@tag_groupid,bigint,Mandatory,@message,nvarchar(1000),,,Creates a new record to authorise function list members to link tags to a tag group.
[controlling].[usp_INS_tag_group_perm_flist],,@functionlistid,bigint,Mandatory,@transaction_status,nvarchar(50),,,
[controlling].[usp_INS_tag_group_perm_plist],Controller,@tag_groupid,bigint,Mandatory,@message,nvarchar(1000),,,Creates a new record to authorise people list members to link tags to a tag group.
[controlling].[usp_INS_tag_group_perm_plist],,@peoplelistid,bigint,Mandatory,@transaction_status,nvarchar(50),,,
[controlling].[usp_INS_tag_tree_name],Controller,@mnemonic,nvarchar(10),Optional,@message,nvarchar(1000),,,Creates a tag tree name.
[controlling].[usp_INS_tag_tree_name],,@tag_tree_name,nvarchar(50),Mandatory,@transaction_status,nvarchar(50),,,
[controlling].[usp_INS_tag_tree_name],,@description,nvarchar(max),Optional,@newrecordid,bigint,,,
[controlling].[usp_INS_tag_tree_name],,@listposition,int,Optional,,,,,
[controlling].[usp_INS_tag_tree_perm_flist],Controller,@tag_treeid,bigint,Mandatory,@message,nvarchar(1000),,,Creates a new record to authorise function list members to edit a tag tree.
[controlling].[usp_INS_tag_tree_perm_flist],,@functionlistid,bigint,Mandatory,@transaction_status,nvarchar(50),,,
[controlling].[usp_INS_tag_tree_perm_plist],Controller,@tag_treeid,bigint,Mandatory,@message,nvarchar(1000),,,Creates a new record to authorise people list members to edit a tag tree.
[controlling].[usp_INS_tag_tree_perm_plist],,@peoplelistid,bigint,Mandatory,@transaction_status,nvarchar(50),,,
[controlling].[usp_DEL_tag_tree_perm_plist],Controller,@tag_treeid,bigint,Mandatory,@message,nvarchar(1000),,,Deletes a tag link permissions record to revoke authorisation for members of a people list to edit a tag tree.
[controlling].[usp_DEL_tag_tree_perm_plist],,@peoplelistid,bigint,Mandatory,@transaction_status,nvarchar(50),,,
[controlling].[usp_INS_transaction_group],Controller,@transaction_note,nvarchar(max),Optional,@message,nvarchar(1000),,,Creates a new transaction group
[controlling].[usp_INS_transaction_group],,,,,@transaction_status,nvarchar(50),,,
[controlling].[usp_INS_transaction_group],,,,,@newgroupid,bigint,,,
[controlling].[usp_INS_wf_step_duty_funct],Controller,@instance_step_id,bigint,Mandatory,@message,nvarchar(1000),,,Inserts a record to create a workflow instance step to duty function link.
[controlling].[usp_INS_wf_step_duty_funct],,@functionid,bigint,Mandatory,@transaction_status,nvarchar(50),,,
[controlling].[usp_INS_wf_step_duty_funct],,@outputid,bigint,Optional,,,,,
[controlling].[usp_INS_workflow_instance_def],Controller,@documentid,nvarchar(50),Mandatory,@message,nvarchar(1000),,,Inserts a record into workflow_instances.workflow_instance_definitions to create a new workflow instance.
[controlling].[usp_INS_workflow_instance_def],,@workflow_model_id,bigint,Mandatory,@transaction_status,nvarchar(50),,,
[controlling].[usp_INS_workflow_instance_def],,@present_step_id,bigint,Optional,@newrecordid,bigint,,,
[controlling].[usp_INS_workflow_instance_def],,@notes,nvarchar(max),Optional,,,,,
[controlling].[usp_INS_workflow_instance_step],Controller,@instanceid,bigint,Mandatory,@message,nvarchar(1000),,,Inserts a new workflow instance step record.
[controlling].[usp_INS_workflow_instance_step],,@model_step_id,bigint,Mandatory,@transaction_status,nvarchar(50),,,
[controlling].[usp_INS_workflow_instance_step],,@step_status_id,bigint,Optional,@newrecordid,bigint,,,
[controlling].[usp_INS_workflow_instance_step],,@date1,datetime2(7),Optional,,,,,
[controlling].[usp_INS_workflow_instance_step],,@date2,datetime2(7),Optional,,,,,
[controlling].[usp_INS_workflow_instance_step],,@date3,datetime2(7),Optional,,,,,
[controlling].[usp_INS_workflow_participant],Controller,@instance_step_id,bigint,Mandatory,@message,nvarchar(1000),,,Inserts a record to create a workflow instance step to person link.
[controlling].[usp_INS_workflow_participant],,@sidid,bigint,Mandatory,@transaction_status,nvarchar(50),,,
[controlling].[usp_INS_workflow_participant],,@outputid,bigint,Optional,,,,,
[controlling].[usp_SEL_all_sid_list],Authoriser;Configurator;Controller,,,,@message,nvarchar(1000),User ID,bigint,"Selects all records from the sid list, and retrieves the associated user names."
[controlling].[usp_SEL_all_sid_list],,,,,@transaction_status,nvarchar(50),Database Username,nvarchar(200),If Current is No then either the user record has been de-activated or the Windows Account has been removed.
[controlling].[usp_SEL_all_sid_list],,,,,@numrows,bigint,Description,nvarchar(150),
[controlling].[usp_SEL_all_sid_list],,,,,,,System Username,nvarchar(128),
[controlling].[usp_SEL_all_sid_list],,,,,,,Email Address,nvarchar(255),
[controlling].[usp_SEL_all_sid_list],,,,,,,Created,nvarchar(30),
[controlling].[usp_SEL_all_sid_list],,,,,,,Windows Account Current,nvarchar(5),
[controlling].[usp_SEL_sid_by_username],Authoriser;Configurator;Controller,@likestring,nvarchar(128),Mandatory,@message,nvarchar(1000),User ID,bigint,Selects records from the sid list which contain the given string.
[controlling].[usp_SEL_sid_by_username],,,,,@transaction_status,nvarchar(50),Database Username,nvarchar(200),
[controlling].[usp_SEL_sid_by_username],,,,,@numrows,bigint,Description,nvarchar(150),
[controlling].[usp_SEL_sid_by_username],,,,,,,System Username,nvarchar(128),
[controlling].[usp_SEL_sid_by_username],,,,,,,Email Address,nvarchar(255),
[controlling].[usp_SEL_sid_by_username],,,,,,,Created,nvarchar(30),
[controlling].[usp_SEL_sid_by_username],,,,,,,Windows Account Current,nvarchar(5),
[reading].[usp_SEL_document_details],None,@documentid,nvarchar(50),Mandatory,@message,nvarchar(1000),Type,,Lists all metadata associated with a given document ID.
[reading].[usp_SEL_document_details],,,,,@transaction_status,nvarchar(50),Name,,
[reading].[usp_SEL_document_details],,,,,,,Value,,
[reading].[usp_SEL_document_details],,,,,,,Units,,
[reading].[usp_SEL_file_details],None,@fileid,bigint,Mandatory,@message,nvarchar(1000),Type,,Lists all metadata associated with a given file ID.
[reading].[usp_SEL_file_details],,,,,@transaction_status,nvarchar(50),Name,,
[reading].[usp_SEL_file_details],,,,,,,Value,,
[reading].[usp_SEL_file_details],,,,,,,Units,,
[reading].[usp_SEL_eula],None,,,,@message,nvarchar(1000),,,Returns the current end user license agreement. 
[reading].[usp_SEL_eula],,,,,@transaction_status,nvarchar(50),,,
[reading].[usp_SEL_eula],,,,,@eula,nvarchar(max),,,
[controlling].[usp_SEL_all_recent_sids],Authoriser;Configurator;Controller,@minutes,int,Optional,@message,nvarchar(1000),User ID,bigint,Selects all records from the sid list which were created after a given time.
[controlling].[usp_SEL_all_recent_sids],,,,,@transaction_status,nvarchar(50),Database Username,nvarchar(200),
[controlling].[usp_SEL_all_recent_sids],,,,,@numrows,bigint,Description,nvarchar(150),
[controlling].[usp_SEL_all_recent_sids],,,,,,,System Username,nvarchar(128),
[controlling].[usp_SEL_all_recent_sids],,,,,,,Email Address,nvarchar(255),
[controlling].[usp_SEL_all_recent_sids],,,,,,,Created,nvarchar(30),
[controlling].[usp_SEL_all_recent_sids],,,,,,,Windows Account Current,nvarchar(5),
[controlling].[usp_SEL_contr_dc_grp_lnks_rstr],Controller,@formid,bigint,Optional,@message,nvarchar(1000),Record  ,bigint,Selects document metadata for all documents which the controller connected user has rights to.
[controlling].[usp_SEL_contr_dc_grp_lnks_rstr],,,,,@transaction_status,nvarchar(50),Document ID,nvarchar(50),
[controlling].[usp_SEL_contr_dc_grp_lnks_rstr],,,,,@numrows,bigint,File ID,bigint,
[controlling].[usp_SEL_contr_dc_grp_lnks_rstr],,,,,@numdocs,bigint,Field Type,nvarchar(50),
[controlling].[usp_SEL_contr_dc_grp_lnks_rstr],,,,,,,Name ID,bigint,
[controlling].[usp_SEL_contr_dc_grp_lnks_rstr],,,,,,,Name,nvarchar(50),
[controlling].[usp_SEL_contr_dc_grp_lnks_rstr],,,,,,,Mnemonic,nvarchar(10),
[controlling].[usp_SEL_contr_dc_grp_lnks_rstr],,,,,,,Attribute ID,bigint,
[controlling].[usp_SEL_contr_dc_grp_lnks_rstr],,,,,,,Value,nvarchar(max),
[controlling].[usp_SEL_contr_dc_grp_lnks_rstr],,,,,,,Units,nvarchar(50),
[controlling].[usp_SEL_contr_dc_grp_lnks_rstr],,,,,,,Position,nvarchar(50),
[controlling].[usp_SEL_contr_doc_groups_restr],Controller,,,,@message,nvarchar(1000),Controller Doc Group ID,bigint,Lists all of the controller level document groups that the connected user has rights to. 
[controlling].[usp_SEL_contr_doc_groups_restr],,,,,@transaction_status,nvarchar(50),Mnemonic,nvarchar(10),
[controlling].[usp_SEL_contr_doc_groups_restr],,,,,@numrows,bigint,Controller Doc Group Name,nvarchar(50),
[controlling].[usp_SEL_contr_doc_groups_restr],,,,,,,Description,nvarchar(max),
[controlling].[usp_SEL_contr_doc_groups_restr],,,,,,,Created,nvarchar(30),
[controlling].[usp_SEL_contr_doc_groups_restr],,,,,,,Created By,nvarchar(128),
[controlling].[usp_SEL_contr_file_groups_rstr],Controller,,,,@message,nvarchar(1000),Controller File Group ID,bigint,Lists all of the controller level file groups that the connected user has rights to. 
[controlling].[usp_SEL_contr_file_groups_rstr],,,,,@transaction_status,nvarchar(50),Mnemonic,nvarchar(10),
[controlling].[usp_SEL_contr_file_groups_rstr],,,,,@numrows,bigint,Controller File Group Name,nvarchar(50),
[controlling].[usp_SEL_contr_file_groups_rstr],,,,,,,Description,nvarchar(max),
[controlling].[usp_SEL_contr_file_groups_rstr],,,,,,,Created,nvarchar(30),
[controlling].[usp_SEL_contr_fl_grp_lnks_rstr],Controller,@formid,bigint,Optional,@message,nvarchar(1000),Row,bigint,Selects file metadata for all the files which a controller connected user has rights to
[controlling].[usp_SEL_contr_fl_grp_lnks_rstr],,,,,@transaction_status,nvarchar(50),File ID,bigint,
[controlling].[usp_SEL_contr_fl_grp_lnks_rstr],,,,,@numrows,bigint,Field Type,nvarchar(50),
[controlling].[usp_SEL_contr_fl_grp_lnks_rstr],,,,,@numfiles,bigint,Name ID,bigint,
[controlling].[usp_SEL_contr_fl_grp_lnks_rstr],,,,,,,Name,nvarchar(50),
[controlling].[usp_SEL_contr_fl_grp_lnks_rstr],,,,,,,Mnemonic,nvarchar(10),
[controlling].[usp_SEL_contr_fl_grp_lnks_rstr],,,,,,,Attribute ID,bigint,
[controlling].[usp_SEL_contr_fl_grp_lnks_rstr],,,,,,,Value,nvarchar(max),
[controlling].[usp_SEL_contr_fl_grp_lnks_rstr],,,,,,,Units,nvarchar(50),
[controlling].[usp_SEL_contr_fl_grp_lnks_rstr],,,,,,,Position,nvarchar(50),
[controlling].[usp_SEL_contr_fl_grp_nms_rstr],Controller,,,,@message,nvarchar(1000),Controller File Group ID,bigint,Reads all controller level file edit groups which the connected user has access to. 
[controlling].[usp_SEL_contr_fl_grp_nms_rstr],,,,,@transaction_status,nvarchar(50),Mnemonic,nvarchar(10),
[controlling].[usp_SEL_contr_fl_grp_nms_rstr],,,,,@numrows,bigint,Controller File Group Name,nvarchar(50),
[controlling].[usp_SEL_contr_fl_grp_nms_rstr],,,,,,,Description,nvarchar(max),
[controlling].[usp_SEL_controllers_form_groups],Controller,,,,@message,nvarchar(1000),Form Group ID,bigint,Lists all the form groups which the connnected user (controller) owns.
[controlling].[usp_SEL_controllers_form_groups],,,,,@transaction_status,nvarchar(50),Form Group Name,nvarchar(50),
[controlling].[usp_SEL_controllers_form_groups],,,,,,,Mnemonic,nvarchar(10),
[controlling].[usp_SEL_controllers_form_groups],,,,,,,Description,nvarchar(max),
[controlling].[usp_SEL_controllers_form_groups],,,,,,,List Position,int,
[controlling].[usp_SEL_controllers_forms],Controller,,,,@message,nvarchar(1000),Form ID,bigint,Lists all forms which the connected user (controller) has permission to modify.
[controlling].[usp_SEL_controllers_forms],,,,,@transaction_status,nvarchar(50),Mnemonic,nvarchar(10),
[controlling].[usp_SEL_controllers_forms],,,,,@numrows,bigint,Form Name,nvarchar(50),
[controlling].[usp_SEL_controllers_forms],,,,,,,Description,nvarchar(max),
[controlling].[usp_SEL_controllers_forms],,,,,,,Form Group ID,bigint,
[controlling].[usp_SEL_controllers_forms],,,,,,,Form Group Name,nvarchar(50),
[controlling].[usp_SEL_controllers_forms],,,,,,,List Position,int,
[controlling].[usp_SEL_dg_ed_perm_funct_list],Controller,,,,@message,nvarchar(1000),Doc Group ID,bigint,Selects all records of document group to function list links.
[controlling].[usp_SEL_dg_ed_perm_funct_list],,,,,@transaction_status,nvarchar(50),Doc Group Name,nvarchar(50),Only lists document groups for which the user has view permission.
[controlling].[usp_SEL_dg_ed_perm_funct_list],,,,,,,Function List ID,bigint,
[controlling].[usp_SEL_dg_ed_perm_funct_list],,,,,,,Function List Name,nvarchar(50),
[controlling].[usp_SEL_dg_ed_perm_funct_list],,,,,,,Notes,nvarchar(max),
[controlling].[usp_SEL_dg_ed_perm_funct_list],,,,,,,Created,nvarchar(30),
[controlling].[usp_SEL_dg_ed_perm_funct_list],,,,,,,Granted By,nvarchar(128),
[controlling].[usp_SEL_dg_ed_perm_people_list],Controller,,,,@message,nvarchar(1000),Doc Group ID,bigint,Selects all records of document group to people list links.
[controlling].[usp_SEL_dg_ed_perm_people_list],,,,,@transaction_status,nvarchar(50),Doc Group Name,nvarchar(50),Only lists document groups for which the user has view permission.
[controlling].[usp_SEL_dg_ed_perm_people_list],,,,,,,People List ID,bigint,
[controlling].[usp_SEL_dg_ed_perm_people_list],,,,,,,Notes,nvarchar(max),
[controlling].[usp_SEL_dg_ed_perm_people_list],,,,,,,Created,nvarchar(30),
[controlling].[usp_SEL_dg_ed_perm_people_list],,,,,,,Granted By,nvarchar(128),
[controlling].[usp_SEL_doc_groups_by_f_list],Controller,@functionlistid,bigint,Mandatory,@message,nvarchar(1000),Function List ID,bigint,Lists all document groups for a given duty function list.
