Name,ApplicationRole,InputParameters,OutputParameters,ResultSets
reading.usp_SEL_doc_date_values_by_doc,reader,@documentid:System.String,@message:System.String;@transaction_status:System.String,1
reading.usp_SEL_doc_file_form_values,reader,@formid:System.Int64;@documentid:System.String;@fileid:System.Int64,@message:System.String;@transaction_status:System.String;@numrows:System.Int64;@outputformid:System.Int64;@formname:System.String,1
reading.usp_SEL_doc_group_names_rstr,reader,,@message:System.String;@transaction_status:System.String,1
reading.usp_SEL_doc_groups_by_doc_rstr,reader,@documentid:System.String,@message:System.String;@transaction_status:System.String,1
reading.usp_SEL_doc_id_contains,reader,@likestring:System.String;@filtergroupid:System.Int64;@formid:System.Int64,@message:System.String;@transaction_status:System.String;@numrows:System.Int64;@numrecords:System.Int64;@numdocs:System.Int64;@outputfiltergroupid:System.Int64;@filtergroupname:System.String;@outputformid:System.Int64;@formname:System.String,1
reading.usp_SEL_doc_id_equals,reader,@documentid:System.String;@filtergroupid:System.Int64;@formid:System.Int64,@message:System.String;@transaction_status:System.String;@numrows:System.Int64;@numrecords:System.Int64;@numdocs:System.Int64,1
reading.usp_SEL_doc_int_values_by_doc,reader,@documentid:System.String,@message:System.String;@transaction_status:System.String,1
reading.usp_SEL_doc_ms_attr_by_doc,reader,@documentid:System.String,@message:System.String;@transaction_status:System.String,1
reading.usp_SEL_doc_ms_attr_by_list,reader,@docmslistid:System.Int64,@message:System.String;@transaction_status:System.String,1
reading.usp_SEL_doc_ms_attr_fg_links,reader,,@message:System.String;@transaction_status:System.String,1
reading.usp_SEL_doc_ms_list_not_linkd,reader,@documentid:System.String,@message:System.String;@transaction_status:System.String,1
reading.usp_SEL_doc_radiob_attr_by_list,reader,@doc_radioblistid:System.Int64,@message:System.String;@transaction_status:System.String,1
reading.usp_SEL_doc_rb_attr_by_doc,reader,@documentid:System.String,@message:System.String;@transaction_status:System.String,1
reading.usp_SEL_doc_rb_attr_fg_links,reader,,@message:System.String;@transaction_status:System.String,1
reading.usp_SEL_doc_rb_list_not_linkd,reader,@documentid:System.String,@message:System.String;@transaction_status:System.String,1
reading.usp_SEL_doc_real_values_by_doc,reader,@documentid:System.String,@message:System.String;@transaction_status:System.String,1
reading.usp_SEL_doc_text_values_by_doc,reader,@documentid:System.String,@message:System.String;@transaction_status:System.String,1
reading.usp_SEL_docs_by_br_tree_node,reader,@tag_br_tree_node_id:System.Int64;@tag_treeid:System.Int64;@tag_descendants:System.String;@filtergroupid:System.Int64;@formid:System.Int64,@message:System.String;@transaction_status:System.String;@numrows:System.Int64;@numrecords:System.Int64;@numdocs:System.Int64,1
reading.usp_SEL_docs_by_co_ms_attr,reader,@commonobjlistid:System.Int64;@commonobjectid:System.Int64;@filtergroupid:System.Int64;@formid:System.Int64,@message:System.String;@transaction_status:System.String;@numrows:System.Int64;@numrecords:System.Int64;@numdocs:System.Int64,1
reading.usp_SEL_docs_by_co_rb_attr,reader,@commonobjlistid:System.Int64;@commonobjectid:System.Int64;@filtergroupid:System.Int64;@formid:System.Int64,@message:System.String;@transaction_status:System.String;@numrows:System.Int64;@numrecords:System.Int64;@numdocs:System.Int64,1
reading.usp_SEL_docs_by_doc_xref,reader,@documentid:System.String;@xref_typeid:System.Int64;@filtergroupid:System.Int64;@formid:System.Int64,@message:System.String;@transaction_status:System.String;@numrows:System.Int64;@numrecords:System.Int64;@numdocs:System.Int64,1
reading.usp_SEL_docs_by_duty_function,reader,@functionid:System.Int64;@filtergroupid:System.Int64;@formid:System.Int64,@message:System.String;@transaction_status:System.String;@numrows:System.Int64;@numrecords:System.Int64;@numdocs:System.Int64,1
reading.usp_SEL_docs_by_file,reader,@fileid:System.Int64;@formid:System.Int64,@message:System.String;@transaction_status:System.String;@numrows:System.Int64;@numdocs:System.Int64,1
reading.usp_SEL_docs_by_filter_group,reader,@filtergroupid:System.Int64;@formid:System.Int64,@message:System.String;@transaction_status:System.String;@numrows:System.Int64;@numrecords:System.Int64;@numdocs:System.Int64;@outputformid:System.Int64;@formname:System.String;@outputfiltergroupid:System.Int64;@filtergroupname:System.String,1
reading.usp_SEL_docs_by_funct_fld_name,reader,@genfield_nameid:System.Int64;@filtergroupid:System.Int64;@formid:System.Int64,@message:System.String;@transaction_status:System.String;@numrows:System.Int64;@numrecords:System.Int64;@numdocs:System.Int64;@outputformid:System.Int64;@formname:System.String;@outputfiltergroupid:System.Int64;@filtergroupname:System.String,1
reading.usp_SEL_docs_by_function_list,reader,@function_list_id:System.Int64;@filtergroupid:System.Int64;@formid:System.Int64,@message:System.String;@transaction_status:System.String;@numrows:System.Int64;@numrecords:System.Int64;@numdocs:System.Int64,1
reading.usp_SEL_docs_by_people_list,reader,@peoplelistid:System.Int64;@filtergroupid:System.Int64;@formid:System.Int64,@message:System.String;@transaction_status:System.String;@numrows:System.Int64;@numrecords:System.Int64;@numdocs:System.Int64,1
reading.usp_SEL_docs_by_radio_button,reader,@docradiobattrid:System.Int64;@filtergroupid:System.Int64;@formid:System.Int64,@message:System.String;@transaction_status:System.String;@numrows:System.Int64;@numrecords:System.Int64;@numdocs:System.Int64,1
reading.usp_SEL_docs_by_tag,reader,@tag_id:System.Int64;@tag_treeid:System.Int64;@tag_descendants:System.String;@filtergroupid:System.Int64;@formid:System.Int64,@message:System.String;@transaction_status:System.String;@numrows:System.Int64;@numrecords:System.Int64;@numdocs:System.Int64,1
reading.usp_SEL_docs_by_text_field,reader,@doctextnameid:System.Int64;@likestring:System.String;@filtergroupid:System.Int64;@formid:System.Int64,@message:System.String;@transaction_status:System.String;@numrows:System.Int64;@numrecords:System.Int64;@numdocs:System.Int64,1
reading.usp_SEL_docs_by_trans_group,reader,@formid:System.Int64;@transactiongroup:System.Int64,@message:System.String;@transaction_status:System.String;@numrows:System.Int64;@numdocs:System.Int64,1
reading.usp_SEL_docs_by_user,reader,@sidid:System.Int64;@filtergroupid:System.Int64;@formid:System.Int64,@message:System.String;@transaction_status:System.String;@numrows:System.Int64;@numrecords:System.Int64;@numdocs:System.Int64;@outputformid:System.Int64;@formname:System.String;@outputfiltergroupid:System.Int64;@filtergroupname:System.String,1
reading.usp_SEL_docs_by_user_fgn,reader,@genfield_nameid.Int64;@filtergroupid:System.Int64;@formid:System.Int64,@message:System.String;@transaction_status:System.String;@numrows:System.Int64;@numrecords:System.Int64;@numdocs:System.Int64;@outputformid:System.Int64;@formname:System.String;@outputfiltergroupid:System.Int64;@filtergroupname:System.String,1
reading.usp_SEL_docs_date_after,reader,@docdatenameid:System.Int64;@datevalue:System.DateTime;@filtergroupid:System.Int64;@formid:System.Int64,@message:System.String;@transaction_status:System.String;@numrows:System.Int64;@numrecords:System.Int64;@numdocs:System.Int64,1
reading.usp_SEL_docs_date_before,reader,@docdatenameid:System.Int64;@datevalue:System.DateTime;@filtergroupid:System.Int64;@formid:System.Int64,@message:System.String;@transaction_status:System.String;@numrows:System.Int64;@numrecords:System.Int64;@numdocs:System.Int64,1
reading.usp_SEL_docs_date_between,reader,@docdatenameid:System.Int64;@earlier_date:System.DateTime;@later_date:System.DateTime;@filtergroupid:System.Int64;@formid:System.Int64,@message:System.String;@transaction_status:System.String;@numrows:System.Int64;@numrecords:System.Int64;@numdocs:System.Int64,1
reading.usp_SEL_docs_date_equals,reader,@docdatenameid:System.Int64;@datevalue:System.DateTime;@filtergroupid:System.Int64;@formid:System.Int64,@message:System.String;@transaction_status:System.String;@numrows:System.Int64;@numrecords:System.Int64;@numdocs:System.Int64,1
reading.usp_SEL_docs_date_expired,reader,@filtergroupid:System.Int64;@formid:System.Int64,@message:System.String;@transaction_status:System.String;@numrows:System.Int32;@numrecords:System.Int32;@numdocs:System.Int32;@outputformid:System.Int64;@formname:System.String;@outputfiltergroupid:System.Int64;@filtergroupname:System.String,1
reading.usp_SEL_docs_int_between,reader,@docintnameid:System.Int64;@lower_int_value:System.Int64;@upper_int_value:System.Int64;@filtergroupid:System.Int64;@formid:System.Int64,@message:System.String;@transaction_status:System.String;@numrows:System.Int64;@numrecords:System.Int64;@numdocs:System.Int64,1
reading.usp_SEL_docs_int_equals,reader,@docintnameid:System.Int64;@integervalue:System.Int64;@filtergroupid:System.Int64;@formid:System.Int64,@message:System.String;@transaction_status:System.String;@numrows:System.Int64;@numrecords:System.Int64;@numdocs:System.Int64,1
reading.usp_SEL_docs_int_greater_than,reader,@docintnameid:System.Int64;@integervalue:System.Int64;@filtergroupid:System.Int64;@formid:System.Int64,@message:System.String;@transaction_status:System.String;@numrows:System.Int64;@numrecords:System.Int64;@numdocs:System.Int64,1
reading.usp_SEL_docs_int_less_than,reader,@docintnameid:System.Int64;@integervalue:System.Int64;@filtergroupid:System.Int64;@formid:System.Int64,@message:System.String;@transaction_status:System.String;@numrows:System.Int64;@numrecords:System.Int64;@numdocs:System.Int64,1
reading.usp_SEL_docs_multi_sel_attr,reader,@docmslistid:System.Int64;@docmsattrid:System.Int64;@filtergroupid:System.Int64;@formid:System.Int64,@message:System.String;@transaction_status:System.String;@numrows:System.Int64;@numrecords:System.Int64;@numdocs:System.Int64,1
reading.usp_SEL_docs_real_between,reader,@docrealnameid:System.Int64;@lower_real_value:System.Single;@upper_real_value:System.Single;@filtergroupid:System.Int64;@formid:System.Int64,@message:System.String;@transaction_status:System.String;@numrows:System.Int64;@numrecords:System.Int64;@numdocs:System.Int64,1
