Name,ApplicationRole,InputParameters,OutputParameters,ResultSets
reading.usp_SEL_fnct_lists_by_function,reader,@functionid:System.Int64,@message:System.String;@transaction_status:System.String,1
reading.usp_SEL_fnct_lists_for_user,reader,,@message:System.String;@transaction_status:System.String,1
reading.usp_SEL_form_group,reader,@formgroupid:System.Int64,@message:System.String;@transaction_status:System.String,1
reading.usp_SEL_form_name,reader,@formnameid:System.Int64,@message:System.String;@transaction_status:System.String,1
reading.usp_SEL_forms_by_form_group,reader,@formgroupid:System.Int64,@message:System.String;@transaction_status:System.String;@numrows:System.Int64,1
reading.usp_SEL_function_lists_by_doc,reader,@documentid:System.String,@message:System.String;@transaction_status:System.String,1
reading.usp_SEL_function_lists_by_file,reader,@fileid:System.Int64,@message:System.String;@transaction_status:System.String,1
reading.usp_SEL_functions_by_doc,reader,@documentid:System.String,@message:System.String;@transaction_status:System.String,1
reading.usp_SEL_functions_by_file,reader,@fileid:System.Int64,@message:System.String;@transaction_status:System.String,1
reading.usp_SEL_functions_by_fnct_list,reader,@functionlistid:System.Int64,@message:System.String;@transaction_status:System.String,1
reading.usp_SEL_general_field_names,reader,,@message:System.String;@transaction_status:System.String,1
reading.usp_SEL_global_settings,reader,,@message:System.String;@transaction_status:System.String,1
reading.usp_SEL_indiv_browsing_trees,reader,,@message:System.String;@transaction_status:System.String,1
reading.usp_SEL_nameplate,reader,,@message:System.String;@transaction_status:System.String,1
reading.usp_SEL_non_pers_pple_lst_nms,reader,,@message:System.String;@transaction_status:System.String,1
reading.usp_SEL_number_of_all_docs,reader,,@message:System.String;@transaction_status:System.String;@numdocs:System.Int64,1
reading.usp_SEL_number_of_all_files,reader,,@message:System.String;@transaction_status:System.String;@numfiles:System.Int64,1
reading.usp_SEL_one_doc_all_data,reader,@documentid:System.String;@formid:System.Int64,@message:System.String;@transaction_status:System.String;@numrows:System.Int64;@numrecords:System.Int64;@outputformid:System.Int64;@formname:System.String,1
reading.usp_SEL_one_document_data,reader,@documentid:System.String;@filtergroupid:System.Int64;@formid:System.Int64,@message:System.String;@transaction_status:System.String;@numrows:System.Int64;@numrecords:System.Int64;@outputformid:System.Int64;@formname:System.String;@outputfiltergroupid:System.Int64;@filtergroupname:System.String,1
reading.usp_SEL_one_file_data,reader,@fileid:System.Int64;@formid:System.Int64,@thumbnail:System.Byte[];@message:System.String;@transaction_status:System.String;@numrows:System.Int32;@outputformid:System.Int64;@formname:System.String,1
reading.usp_SEL_people_lists_by_doc,reader,@documentid:System.String,@message:System.String;@transaction_status:System.String,1
reading.usp_SEL_people_lists_by_file,reader,@fileid:System.Int64,@message:System.String;@transaction_status:System.String,1
reading.usp_SEL_people_lists_by_person,reader,@sidid:System.Int64,@message:System.String;@transaction_status:System.String,1
reading.usp_SEL_people_lists_for_user,reader,,@message:System.String;@transaction_status:System.String,1
reading.usp_SEL_persons_by_people_list,reader,@peoplelistid:System.Int64,@message:System.String;@transaction_status:System.String,1
reading.usp_SEL_privileges,reader,,@message:System.String;@transaction_status:System.String,1
reading.usp_SEL_restr_doc_group_names,reader,,@message:System.String;@transaction_status:System.String,1
reading.usp_SEL_sids_by_duty_function,reader,@functionid:System.Int64,@message:System.String;@transaction_status:System.String,1
reading.usp_SEL_tag_br_tr_perm_flists,reader,,@message:System.String;@transaction_status:System.String,1
reading.usp_SEL_tag_br_tr_perm_plists,reader,,@message:System.String;@transaction_status:System.String,1
reading.usp_SEL_tag_by_tag_id,reader,@tag_id:System.Int64,@message:System.String;@transaction_status:System.String,1
reading.usp_SEL_tag_get_ancestors,reader,@tag_tree_node_id:System.Int64,@message:System.String;@transaction_status:System.String,1
reading.usp_SEL_tag_get_descendants,reader,@tag_tree_node_id:System.Int64,@message:System.String;@transaction_status:System.String,1
reading.usp_SEL_tag_get_root,reader,@tag_tree_node_id:System.Int64,@message:System.String;@transaction_status:System.String,1
reading.usp_SEL_tag_group_perm_flists,reader,,@message:System.String;@transaction_status:System.String,1
reading.usp_SEL_tag_group_perm_plists,reader,,@message:System.String;@transaction_status:System.String,1
reading.usp_SEL_tag_groups_by_tag,reader,@tag_id:System.Int64,@message:System.String;@transaction_status:System.String,1
reading.usp_SEL_tag_groups_with_ed_perm,reader,,@message:System.String;@transaction_status:System.String,1
reading.usp_SEL_tag_tree_by_tree_id,reader,@tag_treeid:System.Int64,@message:System.String;@transaction_status:System.String,1
reading.usp_SEL_tag_tree_perm_flists,reader,,@message:System.String;@transaction_status:System.String,1
reading.usp_SEL_tag_tree_perm_plists,reader,,@message:System.String;@transaction_status:System.String,1
reading.usp_SEL_tag_trees_with_ed_perm,reader,,@message:System.String;@transaction_status:System.String,1
reading.usp_SEL_tags_by_doc,reader,@documentid:System.String;@tag_descendants:System.String,@message:System.String;@transaction_status:System.String,1
reading.usp_SEL_tags_by_string,reader,@likestring:System.String,@message:System.String;@transaction_status:System.String,1
reading.usp_SEL_tags_by_tag_group,reader,@tag_groupid:System.Int64,@message:System.String;@transaction_status:System.String,1
reading.usp_SEL_tags_with_ed_perm,reader,,@message:System.String;@transaction_status:System.String,1
reading.usp_SEL_transaction_group,reader,@transactiongroup:System.Int64,@message:System.String;@transaction_status:System.String,1
reading.usp_SEL_transaction_grp_cont,reader,@likestring:System.String,@message:System.String;@transaction_status:System.String,1
reading.usp_SEL_tree_node,reader,@tag_tree_node_id:System.Int64,@message:System.String;@transaction_status:System.String,1
reading.usp_SEL_trees_by_tag,reader,@tag_id:System.Int64,@message:System.String;@transaction_status:System.String,1
reading.usp_SEL_unrstr_doc_group_names,reader,,@message:System.String;@transaction_status:System.String,1
reading.usp_SEL_user_roles,reader,,@message:System.String;@transaction_status:System.String,1
reading.usp_SEL_users_by_doc,reader,@documentid:System.String,@message:System.String;@transaction_status:System.String,0
reading.usp_SEL_users_by_file,reader,@fileid:System.Int64,@message:System.String;@transaction_status:System.String,0
reading.usp_SEL_wf_funct_by_step_id,reader,@instance_step_id:System.Int64,@message:System.String;@transaction_status:System.String;@numrows:System.Int64,1
reading.usp_SEL_wf_funct_files_by_step,reader,@instance_step_id:System.Int64,@message:System.String;@transaction_status:System.String;@numrows:System.Int64,1
reading.usp_SEL_wf_funct_output_files,reader,,@message:System.String;@transaction_status:System.String;@numrows:System.Int64,1
reading.usp_SEL_wf_input_files_by_step,reader,@instance_step_id:System.Int64,@message:System.String;@transaction_status:System.String;@numrows:System.Int64,1
reading.usp_SEL_wf_input_step_files,reader,,@message:System.String;@transaction_status:System.String;@numrows:System.Int64,1
reading.usp_SEL_wf_inst_def_by_doc,reader,@documentid:System.String,@message:System.String;@transaction_status:System.String;@numrows:System.Int64,1
reading.usp_SEL_wf_inst_def_by_model,reader,@workflow_model_id:System.Int64,@message:System.String;@transaction_status:System.String;@numrows:System.Int64,1
reading.usp_SEL_wf_inst_steps_by_inst,reader,@instanceid:System.Int64,@message:System.String;@transaction_status:System.String;@num_steps:System.Int64;@num_records:System.Int64,1
reading.usp_SEL_wf_people_by_step_id,reader,@instance_step_id:System.Int64,@message:System.String;@transaction_status:System.String;@numrows:System.Int64,1
reading.usp_SEL_wf_people_files_by_step,reader,@instance_step_id:System.Int64,@message:System.String;@transaction_status:System.String;@numrows:System.Int64,1
reading.usp_SEL_wf_people_output_files,reader,,@message:System.String;@transaction_status:System.String;@numrows:System.Int64,1
reading.usp_SEL_wf_rules_by_model_step,reader,@workflow_step_id:System.Int64,@message:System.String;@transaction_status:System.String,1
reading.usp_SEL_wf_step_duty_functs,reader,,@message:System.String;@transaction_status:System.String;@numrows:System.Int64,1
reading.usp_SEL_wf_step_get_ancestors,reader,@instance_step_id:System.Int64,@message:System.String;@transaction_status:System.String;@num_nodes:System.Int64;@num_records:System.Int64,1
reading.usp_SEL_wf_step_get_descendts,reader,@instance_step_id:System.Int64,@message:System.String;@transaction_status:System.String;@num_nodes:System.Int64;@num_records:System.Int64,1
reading.usp_SEL_wf_step_get_parents,reader,@instance_step_id:System.Int64,@message:System.String;@transaction_status:System.String;@num_nodes:System.Int64;@num_records:System.Int64,1
reading.usp_SEL_wf_step_get_siblings,reader,@instance_step_id:System.Int64,@message:System.String;@transaction_status:System.String;@num_nodes:System.Int64;@num_records:System.Int64,1
reading.usp_SEL_wf_step_get_step_data,reader,@instance_step_id:System.Int64,@message:System.String;@transaction_status:System.String;@num_records:System.Int64,1
reading.usp_SEL_wf_step_participants,reader,,@message:System.String;@transaction_status:System.String;@numrows:System.Int64,1
reading.usp_SEL_wf_step_status_defs,reader,,@message:System.String;@transaction_status:System.String,1
reading.usp_SEL_wf_steps_by_duty_funct,reader,@functionid:System.Int64,@message:System.String;@transaction_status:System.String;@numrows:System.Int64,1
reading.usp_SEL_wf_steps_by_model_name,reader,@workflow_model_id:System.Int64,@message:System.String;@transaction_status:System.String;@num_steps:System.Int64;@num_records:System.Int64,1
reading.usp_SEL_wf_steps_by_person,reader,@sidid:System.Int64,@message:System.String;@transaction_status:System.String;@numrows:System.Int64,1
reading.usp_SEL_wf_tr_log_index_by_doc,reader,@documentid:System.String,@message:System.String;@transaction_status:System.String;@numrecords:System.Int64,1
reading.usp_SEL_wf_track_log_by_id,reader,@logindexid:System.Int64,@message:System.String;@transaction_status:System.String;@numrecords:System.Int64,1
reading.usp_SEL_whoisthis,reader,,@message:System.String;@transaction_status:System.String;@username:System.String,0
reading.usp_SEL_workflow_actions,reader,,@message:System.String;@transaction_status:System.String,1
reading.usp_SEL_workflow_instance_defs,reader,,@message:System.String;@transaction_status:System.String;@numrows:System.Int64,1
reading.usp_SEL_workflow_model_names,reader,,@message:System.String;@transaction_status:System.String,1
reading.usp_SEL_workflow_output_defs,reader,,@message:System.String;@transaction_status:System.String,1
reading.usp_SEL_workflow_rules,reader,,@message:System.String;@transaction_status:System.String,1
reading.usp_SEL_workflow_step_transn,reader,@step_transitionid:System.Int64,@message:System.String;@transaction_status:System.String,1
reading.usp_SEL_xref_types,reader,,@message:System.String;@transaction_status:System.String,1
