MenuItemId,Label,ParentMenu,Roles,ActionType,Reference,Shortcut,Order,Description,Icon
Config-MetDocs-Read,Read,Config-MetDocs,Configurator,,,,1,,
Config-MetDocs-Create,Create,Config-MetDocs,Configurator,,,,2,,
Config-MetDocs-Update,Update,Config-MetDocs,Configurator,,,,3,,
Config-MetDocs-Delete,Delete,Config-MetDocs,Configurator,,,,4,,
CreateDocRBList,Create Document Radio Button List,Config-MetDocs-Create,Configurator,FORM,create-doc-radio-button-list,,,Create a document radio button list,
rid-ins-doc-date-field-name-form,Create Document Date Field,Config-MetDocs-Create,Configurator,FORM,rid-ins-doc-date-field-name-form,,,Create a new document date field name record.,
rid-ins-doc-int-field-name-form,Create Document Integer Field,Config-MetDocs-Create,Configurator,FORM,rid-ins-doc-int-field-name-form,,,Create a document integer field name.,
rid-ins-doc-ms-attr-fg-link-form,Create Doc Multi-Select Attribute to Filter Group,Config-MetDocs-Create,Configurator,FORM,rid-ins-doc-ms-attr-fg-link-form,,,Create a document multi-select attribute ID to filter group ID link.,
rid-ins-doc-ms-attribute-form-1,Create Document Multi-Select Attribute,Config-MetDocs-Create,Configurator,FORM,rid-ins-doc-ms-attribute-form,,,Create a document multi-select attribute.,
rid-ins-doc-multi-select-list-form,Create Document Multi-Select List,Config-MetDocs-Create,Configurator,FORM,rid-ins-doc-multi-select-list-form,,,Create a new document multi-select list name record.,
rid-ins-doc-radiob-attr-form,Create Document Radio Button Attribute,Config-MetDocs-Create,Configurator,FORM,rid-ins-doc-radiob-attr-form,,,Create a document radio button attribute.,
rid-ins-doc-rb-attr-fg-link-form,Create Doc Radio Button Attribute to Filter Group Link,Config-MetDocs-Create,Configurator,FORM,rid-ins-doc-rb-attr-fg-link-form,,,Create a document radio button attribute ID to filter group ID link.,
rid-ins-doc-real-field-name-form,Create Document Real Number Field,Config-MetDocs-Create,Configurator,FORM,rid-ins-doc-real-field-name-form,,,Create a document real number field name.,
rid-ins-doc-text-field-name-form,Create Document Free Text Field,Config-MetDocs-Create,Configurator,FORM,rid-ins-doc-text-field-name-form,,,Create a document free text field name.,
rid-del-doc-date-field-name-form,Delete Doc Date Field,Config-MetDocs-Delete,Configurator,FORM,rid-del-doc-date-field-name-form,,,Delete a document date field name record.,
rid-del-doc-int-field-name-form-1,Delete a Document Integer Field,Config-MetDocs-Delete,Configurator,FORM,rid-del-doc-int-field-name-form,,,Delete a document integer field name.,
rid-del-doc-ms-attr-fg-link-form,Delete Doc Multi-Select Attribute to Filter Group Link,Config-MetDocs-Delete,Configurator,FORM,rid-del-doc-ms-attr-fg-link-form,,,Delete a document multi-select attribute ID to filter group ID link.,
rid-del-doc-ms-attribute-form,Delete a Docment Multi-Select Attribute,Config-MetDocs-Delete,Configurator,FORM,rid-del-doc-ms-attribute-form,,,Delete a document multi-select attribute.,
rid-del-doc-ms-list-form,Delete a Doc Multi-Select List,Config-MetDocs-Delete,Configurator,FORM,rid-del-doc-ms-list-form,,,Delete a document multi-select list name record.,
rid-del-doc-radiob-attr-form,Delete Doc Radio Button Attribute,Config-MetDocs-Delete,Configurator,FORM,rid-del-doc-radiob-attr-form,,,Delete a document radio button attribute.,
rid-del-doc-radiob-list-form,Delete Doc Radio Button List,Config-MetDocs-Delete,Configurator,FORM,rid-del-doc-radiob-list-form,,,Delete a document radio button list.,
rid-del-doc-rb-attr-fg-link-form,Delete Doc Radio Button Attribute to Filter Group Link,Config-MetDocs-Delete,Configurator,FORM,rid-del-doc-rb-attr-fg-link-form,,,Delete a document radio button attribute ID to filter group ID link.,
rid-del-doc-real-field-name-form,Delete Doc Real Number Field,Config-MetDocs-Delete,Configurator,FORM,rid-del-doc-real-field-name-form,,,Delete a document real number field.,
rid-del-doc-text-field-name-form,Delete Doc Free Text Field,Config-MetDocs-Delete,Configurator,FORM,rid-del-doc-text-field-name-form,,,Delete a document free text field name.,
DocComObjMultiSelectLink-2,Document Common Object Multi-Select Link,Config-MetDocs-Read,Configurator,READ,all-doc-com-obj-ms-lnk,,3,List all document common object muti-select list objects which are linked to any document,
DocComObjRadioButtonLink-2,Document Common Object Radio Button Link,Config-MetDocs-Read,Configurator,READ,all-doc-com-obj-rb-lnk,,4,List all document common object radio button list objects which are linked to any document,
DocDateFields-2,Document Date Fields,Config-MetDocs-Read,Configurator,READ,all-doc-date-fields,,5,Select all document date field names.,
DocIntFields-2,Document Integer Fields,Config-MetDocs-Read,Configurator,READ,all-doc-int-fields,,9,Select all document integer field names.,
DocMultiSelectAttributes-2,Document Multi-Select Attributes,Config-MetDocs-Read,Configurator,READ,all-doc-ms-attributes,,10,Select all records of document multi-select list attributes.,
DocMultiSelectLists-2,Document Multi-Select Lists,Config-MetDocs-Read,Configurator,READ,all-doc-ms-lists,,11,Select all document multi-select list names.,
DocRadioButtonAttributes-2,Document Radio Button Attributes,Config-MetDocs-Read,Configurator,READ,all-doc-radiob-attr,,12,Select all doc radio button attributes.,
DocRadioButtonLists-2,Document Radio Button Lists,Config-MetDocs-Read,Configurator,READ,all-doc-radiob-lists,,13,List all document radio button list names.,
DocRealFields-2,Document Real Fields,Config-MetDocs-Read,Configurator,READ,all-doc-real-fields,,14,List all document real number field names.,
DocTextFields-3,Document Text Fields,Config-MetDocs-Read,Configurator,READ,all-doc-text-fields,,16,Select all document free text field names.,
DocGroupNamesRestricted-3,Document Group Names Incl Unrestricted,Config-MetDocs-Read,Configurator,READ,doc-group-names-rstr,,76,"List document group names which the connected user has rights to, including those that are unrestricted.",
DocGroupNamesRestricted-2,Document Group Names Restricted,Config-MetDocs-Read,Configurator,READ,rstr-doc-group-names-exunrstr,,77,"Select document groups which the connected user has rights to, except those which have no restrictions.",
DocMsAttrFgLinks-2,Document Multi-Select Attribute Filter Group Links,Config-MetDocs-Read,Configurator,READ,doc-ms-attr-fg-links,,78,Retrieve a list of document multi-select attribute to filter group Link.,
DocRbAttrFgLinks-2,Document Radio Button Attribute Filter Group Links,Config-MetDocs-Read,Configurator,READ,doc-rb-attr-fg-links,,79,Retrieve a list of document radio button attribute to filter group Link.,
rid-upd-doc-date-field-name-form,Update Doc Date Field,Config-MetDocs-Update,Configurator,FORM,rid-upd-doc-date-field-name-form,,,Update a document date field name record.  FIELDS LEFT BLANK WILL BE ERASED.,
rid-upd-doc-int-field-name-form,Update Document Integer Field,Config-MetDocs-Update,Configurator,FORM,rid-upd-doc-int-field-name-form,,,Update a document integer field name.,
rid-upd-doc-ms-attr-fg-link-form,Update a Doc Multi-Select to Filter Group Link,Config-MetDocs-Update,Configurator,FORM,rid-upd-doc-ms-attr-fg-link-form,,,Update a document multi-select to filter group link record.,
rid-upd-doc-ms-attr-list-form,Update Attribute List for Doc Multi-Select Attribute,Config-MetDocs-Update,Configurator,FORM,rid-upd-doc-ms-attr-list-form,,,Update the attribute list assignment for a document multi-select attribute.,
rid-upd-doc-ms-attr-posn-form,Update Doc Multi-Select Attribute List Position,Config-MetDocs-Update,Configurator,FORM,rid-upd-doc-ms-attr-posn-form,,,Change the position of a document multi-select attribute.,
rid-upd-doc-ms-attr-text-form,Update Doc Multi-Select Attribute Text Fields,Config-MetDocs-Update,Configurator,FORM,rid-upd-doc-ms-attr-text-form,,,Update the text field for a document multi-select list record.,
rid-upd-doc-ms-list-posn-form,Update Doc Multi-Select List Position,Config-MetDocs-Update,Configurator,FORM,rid-upd-doc-ms-list-posn-form,,,Update a document multi-select list position.,
rid-upd-doc-ms-list-text-form-1,Update Doc Multi-Select List Text Fields,Config-MetDocs-Update,Configurator,FORM,rid-upd-doc-ms-list-text-form,,,Update the text field for a document multi-select list record.,
rid-upd-doc-radiob-attr-form,Update Doc Radio Button Attribute,Config-MetDocs-Update,Configurator,FORM,rid-upd-doc-radiob-attr-form,,,Update the field of a doc radio button attribute,
rid-upd-doc-rb-attr-fg-link-form,Update Doc Radio Button to Filter Group Link,Config-MetDocs-Update,Configurator,FORM,rid-upd-doc-rb-attr-fg-link-form,,,Update a document radio button to filter group link record.,
rid-upd-doc-rb-attr-list-form,Update Doc Radio Button Attribute List,Config-MetDocs-Update,Configurator,FORM,rid-upd-doc-rb-attr-list-form,,,Re-assign a document radio button attribute to a different list. ,
rid-upd-doc-rb-attr-posn-form,Update Doc Radio Button Attribute List Position,Config-MetDocs-Update,Configurator,FORM,rid-upd-doc-rb-attr-posn-form,,,Update the list position of a doc radio button attribute.,
rid-upd-doc-rb-list-posn-form,Update List Position of Doc Radio Button List,Config-MetDocs-Update,Configurator,FORM,rid-upd-doc-rb-list-posn-form,,,Update the list position of a document radio button list.,
rid-upd-doc-rb-list-text-form,Update Doc Radio Button List Text Fields,Config-MetDocs-Update,Configurator,FORM,rid-upd-doc-rb-list-text-form,,,Update the text field for a document radio button list record.,
rid-upd-doc-rb-restriction-form,Updates Doc Radio Button List Restricted Flag,Config-MetDocs-Update,Configurator,FORM,rid-upd-doc-rb-restriction-form,,,Update the restricted flag for a document radio button list.,
rid-upd-doc-real-field-name-form-1,Update Doc Real Number Field,Config-MetDocs-Update,Configurator,FORM,rid-upd-doc-real-field-name-form,,,Update a document real number field name.,
rid-upd-doc-text-field-name-form,Update Doc Free Text Field,Config-MetDocs-Update,Configurator,FORM,rid-upd-doc-text-field-name-form,,,Update a document free text field name.,
Config-MetFiles-Read,Read,Config-MetFiles,Configurator,,,,1,,
Config-MetFiles-Create,Create,Config-MetFiles,Configurator,,,,2,,
Config-MetFiles-Update,Update,Config-MetFiles,Configurator,,,,3,,
Config-MetFiles-Delete,Delete,Config-MetFiles,Configurator,,,,4,,
rid-ins-file-date-field-name-form,Create File Date Field,Config-MetFiles-Create,Configurator,FORM,rid-ins-file-date-field-name-form,,1,Create a new file date field name.,
rid-ins-file-int-field-name-form,Create File Integer Field,Config-MetFiles-Create,Configurator,FORM,rid-ins-file-int-field-name-form,,4,Create a file integer field name.,
rid-ins-file-text-field-name-form-1,Create File Free Text Field,Config-MetFiles-Create,Configurator,FORM,rid-ins-file-text-field-name-form,,8,Create a file free-text field name.,
rid-ins-file-real-field-name-form,Create File Real Number Field,Config-MetFiles-Create,Configurator,FORM,rid-ins-file-real-field-name-form,,10,Create a file real number field name.,
rid-ins-file-multi-select-list-form,Create File Multi-Select List,Config-MetFiles-Create,Configurator,FORM,rid-ins-file-multi-select-list-form,,12,Create a new file multi-select list name record.,
rid-ins-file-ms-attribute-form,Create File Multi-Select Attribute,Config-MetFiles-Create,Configurator,FORM,rid-ins-file-ms-attribute-form,,14,Create a new file multi-select attribute record.,
rid-ins-file-ms-attr-fg-link-form,Create File Multi-Select Attribute to Filter Group Link,Config-MetFiles-Create,Configurator,FORM,rid-ins-file-ms-attr-fg-link-form,,16,Create a file multi-select attribute ID to filter group ID link.,
rid-ins-file-radiob-list-form-2,Create File Radio Button List,Config-MetFiles-Create,Configurator,FORM,rid-ins-file-radiob-list-form,,17,Create a new file radio button list name. ,
rid-ins-file-radiob-attr-form,Create File Radio Button Attribute,Config-MetFiles-Create,Configurator,FORM,rid-ins-file-radiob-attr-form,,18,Create a new file radio button attribute.,
rid-ins-file-rb-attr-fg-link-form,Create File Radio Button Attribute to Filter Group Link,Config-MetFiles-Create,Configurator,FORM,rid-ins-file-rb-attr-fg-link-form,,19,Create a file radio button attribute ID to filter group ID link.,
rid-del-file-date-field-name-form,Delete File Date Field,Config-MetFiles-Delete,Configurator,FORM,rid-del-file-date-field-name-form,,1,Delete a file date field name.,
rid-del-file-int-field-name-form,Delete File Integer Field,Config-MetFiles-Delete,Configurator,FORM,rid-del-file-int-field-name-form,,2,Delete a file integer field name.,
rid-del-file-real-field-name-form,Delete File Real Number Field,Config-MetFiles-Delete,Configurator,FORM,rid-del-file-real-field-name-form,,3,Delete a file real number field name.,
rid-del-file-text-field-name-form,Delete File Text Field,Config-MetFiles-Delete,Configurator,FORM,rid-del-file-text-field-name-form,,5,Delete a file text field name.,
rid-del-file-ms-list-form,Delete File Multi-Select List,Config-MetFiles-Delete,Configurator,FORM,rid-del-file-ms-list-form,,6,Delete a file multi-select list name record.,
rid-del-file-ms-attribute-form,Delete File Multi-Select Attribute,Config-MetFiles-Delete,Configurator,FORM,rid-del-file-ms-attribute-form,,7,Delete a file multi-select attribute.,
rid-del-file-ms-attr-fg-link-form,Delete File Multi-Select to Filter Group Link,Config-MetFiles-Delete,Configurator,FORM,rid-del-file-ms-attr-fg-link-form,,8,Delete a file multi-select attribute ID to filter group ID link.,
rid-del-file-radiob-list-form,Delete File Radio Button List,Config-MetFiles-Delete,Configurator,FORM,rid-del-file-radiob-list-form,,9,Delete a file radio button list.,
rid-del-file-radiob-attr-form,Delete File Radio Button Attribute,Config-MetFiles-Delete,Configurator,FORM,rid-del-file-radiob-attr-form,,10,Delete a file radio button attribute,
rid-del-file-rb-attr-fg-link-form,Delete File Radio Button Attribute to Filter Group Link,Config-MetFiles-Delete,Configurator,FORM,rid-del-file-rb-attr-fg-link-form,,11,Delete a file radio button attribute ID to filter group ID link.,
FileDateFields-2,File Date Fields,Config-MetFiles-Read,Configurator,READ,all-file-date-fields,,21,List all of the file date field names.,
FileIntFields-2,File Integer Fields,Config-MetFiles-Read,Configurator,READ,all-file-int-fields,,22,Select all file integer field names.,
FileMultiSelectAttributes-2,File Multi-Select Attributes,Config-MetFiles-Read,Configurator,READ,all-file-ms-attributes,,23,List all file multi-select attributes.,
FileMultiSelectLists-2,File Multi-Select Lists,Config-MetFiles-Read,Configurator,READ,all-file-ms-lists,,24,Select all file multi-select list names.,
FileRadioButtonAttributes-2,File Radio Button Attributes,Config-MetFiles-Read,Configurator,READ,all-file-radiob-attr,,25,Select all file radio button attribute,
FileRadioButtonLists-2,File Radio Button Lists,Config-MetFiles-Read,Configurator,READ,all-file-radiob-lists,,26,Select all file radio button list names. ,
FileRealFields-2,File Real Fields,Config-MetFiles-Read,Configurator,READ,all-file-real-fields,,27,List all the file real number field names.,
FileTextFields-2,File Text Fields,Config-MetFiles-Read,Configurator,READ,all-file-text-fields,,29,List all of the file free text field names.,
FileComObjMultiSelectLink-2,File Common Object Multi-Select Link,Config-MetFiles-Read,Configurator,READ,all-fl-cm-obj-ms-lnk,,32,List all file common object multi-select list objects.,
FileComObjRadioButtonLink-2,File Common Object Radio Button Link,Config-MetFiles-Read,Configurator,READ,all-fl-cm-obj-rb-lnk,,33,List all file common object radio button objects.,
FileGroupNames-2,File Group Names,Config-MetFiles-Read,Configurator,READ,file-group-names,,81,List all file group names,
FileMsAttrFgLinks-2,File Multi-Select Attribute Filter Group Links,Config-MetFiles-Read,Configurator,READ,file-ms-attr-fg-links,,84,Retrieve a list of file multi-select attribute to filter group Link.,
FileRbAttrFgLinks-2,File Radio Button Attribute Filter Group Links,Config-MetFiles-Read,Configurator,READ,file-rb-attr-fg-links,,85,Retrieve a list of file radio button attribute to filter group Link.,
file-ms-attr-by-list-form-1,File Multi-Select Attributes By List,Config-MetFiles-Read,Configurator,FORM,file-ms-attr-by-list-form,,,List file multi-select attributes for a given list name.,
file-radiob-attr-by-list-form-1,File Radio Button Attributes By List,Config-MetFiles-Read,Configurator,FORM,file-radiob-attr-by-list-form,,,List file radio button attributes for a given radio button list name id,
rid-upd-file-rb-attr-text-form,Update File Radio Button Attribute Text Fields,Config-MetFiles-Update,Configurator,FORM,rid-upd-file-rb-attr-text-form,,2,Update the text of a file radio button attribute,
rid-upd-file-rb-attr-posn-form,Update File Radio Button Attribute List Position,Config-MetFiles-Update,Configurator,FORM,rid-upd-file-rb-attr-posn-form,,4,Update the list position of a file radio button attribute.,
rid-upd-file-rb-list-text-form,Update File Radio Button List Text Fields,Config-MetFiles-Update,Configurator,FORM,rid-upd-file-rb-list-text-form,,6,Update the text fields for a file radio button list attribute record. ,
rid-upd-file-rb-list-posn-form,Update List Position of File Radio Button List,Config-MetFiles-Update,Configurator,FORM,rid-upd-file-rb-list-posn-form,,7,Update the list position of a file radio button list.,
rid-upd-file-rb-restriction-form,Update File Radio Button List Restricted Flag,Config-MetFiles-Update,Configurator,FORM,rid-upd-file-rb-restriction-form,,8,Update the restricted flag for a file radio button list.,
rid-upd-file-rb-attr-fg-link-form,Update File Radio Button to Filter Group Link,Config-MetFiles-Update,Configurator,FORM,rid-upd-file-rb-attr-fg-link-form,,10,Update a file radio button attribute to filter group link.,
rid-upd-file-rb-attr-list-form,Reassign a File Radio Button Attribute to a Different List,Config-MetFiles-Update,Configurator,FORM,rid-upd-file-rb-attr-list-form,,12,Update the radio button list ID of a file radio button attribute.,
rid-upd-file-int-field-name-form,Update File Integer Field,Config-MetFiles-Update,Configurator,FORM,rid-upd-file-int-field-name-form,,14,Update a file integer field name.,
rid-upd-file-ms-attr-posn-form,Update File Multi-Select Attribute List Position,Config-MetFiles-Update,Configurator,FORM,rid-upd-file-ms-attr-posn-form,,16,Update the list position of a file multi-select attribute.,
rid-upd-file-ms-attr-text-form,Update File Multi-Select Attribute Text Fields,Config-MetFiles-Update,Configurator,FORM,rid-upd-file-ms-attr-text-form,,18,Update the text fields for a file multi-select attribute record. ,
rid-upd-file-ms-attr-fg-link-form,Update File Multi-Select Attribute to Filter Group Link,Config-MetFiles-Update,Configurator,FORM,rid-upd-file-ms-attr-fg-link-form,,20,Update a file multi-select attribute to filter group link.,
rid-upd-file-ms-attr-list-form,Update File Multi-Select List,Config-MetFiles-Update,Configurator,FORM,rid-upd-file-ms-attr-list-form,,22,Update the list assignment for a file multi-select attribute.,
rid-upd-file-ms-list-posn-form,Update File Multi-Select List Position,Config-MetFiles-Update,Configurator,FORM,rid-upd-file-ms-list-posn-form,,24,Update a file multi-select list position.,
rid-upd-file-ms-list-text-form,Update File Multi-Select List Text Fields,Config-MetFiles-Update,Configurator,FORM,rid-upd-file-ms-list-text-form,,26,Update the text field for a file multi-select list record.,
rid-upd-file-date-field-name-form,Update File Date Name Text Fields,Config-MetFiles-Update,Configurator,FORM,rid-upd-file-date-field-name-form,,28,Update the text field for a file date name field.,
rid-upd-file-real-field-name-form-1,Update File Real Number Text Fields,Config-MetFiles-Update,Configurator,FORM,rid-upd-file-real-field-name-form,,30,Update the text field for a file real number name field.,
rid-upd-file-text-field-name-form,Update File Text Field Name Text Fields,Config-MetFiles-Update,Configurator,FORM,rid-upd-file-text-field-name-form,,32,Update the text field for a file text field name.,
all-recent-sids-form-CM,Recent Users,Config-MetPeople,Configurator,FORM,all-recent-sids-form,,1,Select all recently added users.,
rid-upd-sid-form-2,Update User,Config-MetPeople,Configurator,FORM,rid-upd-sid-form,,2,Update a user ID record.,
GenFieldNames-2,General Field Names,Config-MetPeople,Configurator,READ,general-field-names,,3,List general field names,
rid-ins-general-field-name-form,Create General Field Name,Config-MetPeople,Configurator,FORM,rid-ins-general-field-name-form,,4,Create a general field name record.,
rid-upd-general-field-name-form,Update General Field Name,Config-MetPeople,Configurator,FORM,rid-upd-general-field-name-form,,6,Update a general field name record.,
rid-upd-general-field-name-position-form,Update General Field Name List Position,Config-MetPeople,Configurator,FORM,rid-upd-general-field-name-position-form,,8,Update the list position of a general field name.,
rid-del-general-field-name-form,Delete General Field Name,Config-MetPeople,Configurator,FORM,rid-del-general-field-name-form,,10,Delete a general field name record.,
EditDocumentData-CM,Edit Document Data,ConfigurationMenu,Configurator,FORM,form-edit-document-data,,88,Edit the metadata for a selected document ID.,
Config-FilterGroup,Filter Groups,ConfigurationMenu,Configurator,,,,,,
Config-Forms,Forms,ConfigurationMenu,Configurator,,,,,,
Config-Metadata,Metadata,ConfigurationMenu,Configurator,,,,,,
Config-MetPeople,People,ConfigurationMenu,Configurator,,,,,,
Config-Workflow,Workflow,ConfigurationMenu,Configurator,,,,,,
Config-Workflow-Read,Read,Config-Workflow,Configurator,,,,1,,
Config-Workflow-Create,Create,Config-Workflow,Configurator,,,,2,,
Config-Workflow-Update,Update,Config-Workflow,Configurator,,,,3,,
Config-Workflow-Delete,Delete,Config-Workflow,Configurator,,,,4,,
rid-ins-workflow-action-form,Create Workflow Action Name,Config-Workflow-Create,Configurator,FORM,rid-ins-workflow-action-form,,1,Create a new workflow action name record.,
rid-ins-workflow-model-name-form,Create Workflow Model Name,Config-Workflow-Create,Configurator,FORM,rid-ins-workflow-model-name-form,,2,Create a new workflow model name.,
rid-ins-workflow-output-def-form,Create Workflow Output Definition,Config-Workflow-Create,Configurator,FORM,rid-ins-workflow-output-def-form,,3,Create a new workflow output definition name.,
rid-ins-workflow-rule-form,Create Workflow Rule,Config-Workflow-Create,Configurator,FORM,rid-ins-workflow-rule-form,,4,Create a new workflow rule name.,
rid-ins-workflow-step-def-form-1,Create Workflow Model Node Step,Config-Workflow-Create,Configurator,FORM,rid-ins-workflow-step-def-form,,5,Create a new node step into a workflow model.,
rid-ins-workflow-rule-link-form,Create Workflow Rule to Workflow Step Transition Edge Link,Config-Workflow-Create,Configurator,FORM,rid-ins-workflow-rule-link-form,,6,Link a workflow rule to a workflow step transition edge.,
rid-ins-step-status-definition-form,Create Workflow Step Status Definition,Config-Workflow-Create,Configurator,FORM,rid-ins-step-status-definition-form,,7,Create a new workflow step status definition name.,
rid-ins-workflow-step-transn-form,Create Workflow Step Transition,Config-Workflow-Create,Configurator,FORM,rid-ins-workflow-step-transn-form,,8,Create a new record into the edge table for workflow step transitions.,
rid-del-workflow-action-form,Delete Workflow Action,Config-Workflow-Delete,Configurator,FORM,rid-del-workflow-action-form,,1,Delete a workflow action record.,
rid-del-workflow-model-form,Delete Workflow Model,Config-Workflow-Delete,Configurator,FORM,rid-del-workflow-model-form,,2,Delete a workflow model record.,
rid-del-workflow-output-def-form,Delete Workflow Output Definition,Config-Workflow-Delete,Configurator,FORM,rid-del-workflow-output-def-form,,3,Delete a workflow output definition record.,
rid-del-workflow-rule-form,Delete Workflow Rule,Config-Workflow-Delete,Configurator,FORM,rid-del-workflow-rule-form,,4,Delete a workflow rule.,
rid-del-workflow-rule-link-form,Delete Workflow Rule to Workflow Step Link,Config-Workflow-Delete,Configurator,FORM,rid-del-workflow-rule-link-form,,6,Delete a workflow rule to a workflow step link.,
rid-del-wf-step-status-defn-form,Delete Workflow Step Status Definition,Config-Workflow-Delete,Configurator,FORM,rid-del-wf-step-status-defn-form,,7,Delete a workflow step status definition record.,
rid-del-workflow-step-transn-form,Delete Workflow Model Step Transition,Config-Workflow-Delete,Configurator,FORM,rid-del-workflow-step-transn-form,,8,Delete a record for a workflow model step transition ID.,
rid-del-workflow-step-def-form,Delete Workflow Step Definition,Config-Workflow-Delete,Configurator,FORM,rid-del-workflow-step-def-form,,,Delete a workflow step definition.,
WfStepDutyFuncts-2,Workflow Step Duty Functions,Config-Workflow-Read,Configurator,READ,wf-step-duty-functs,,4,Retrieve all duty functions and associated data linked to workflow instances.,
WfStepStatusDefs-1-2,Workflow Step Status Definitions,Config-Workflow-Read,Configurator,READ,wf-step-status-defs,,6,Select all workflow step status definition name records,
WorkflowActions-2,Workflow Actions,Config-Workflow-Read,Configurator,READ,workflow-actions,,7,List all workflow action name records.,
WorkflowInstanceDefs-2,Workflow Instance Definitions,Config-Workflow-Read,Configurator,READ,workflow-instance-defs,,8,Return all of the workflow instance definitions and associated workflow model details.,
WorkflowModelNames-2,Workflow Model Names,Config-Workflow-Read,Configurator,READ,workflow-model-names,,9,List all workflow rule name records.,
WorkflowOutputDefs-2,Workflow Output Definitions,Config-Workflow-Read,Configurator,READ,workflow-output-defs,,10,Select all workflow output definition name records,
WorkflowRules-2,Workflow Rules,Config-Workflow-Read,Configurator,READ,workflow-rules,,11,Select workflow rules linked to a given workflow step definition.,
wf-funct-by-step-id-form-2,Duty Functions By Step,Config-Workflow-Read,Configurator,FORM,wf-funct-by-step-id-form,,,Retrieve workflow duty functions and associated data for a given instance step ID.,
wf-inst-def-by-model-form-2,Workflow Instance Definition for Workflow Model,Config-Workflow-Read,Configurator,FORM,wf-inst-def-by-model-form,,,Return all of the workflow instance definitions and associated workflow model details for a given model ID.,
wf-inst-steps-by-inst-form-2,Steps for Workflow Instance,Config-Workflow-Read,Configurator,FORM,wf-inst-steps-by-inst-form,,,Return denormalised data for all instance steps for a given workflow instance ID.,
wf-rules-by-model-step-form-2,Workflow Rules By Model Step,Config-Workflow-Read,Configurator,FORM,wf-rules-by-model-step-form,,,Select workflow rules for a model step,
wf-step-get-ancestors-form-2,Ancestors for Step,Config-Workflow-Read,Configurator,FORM,wf-step-get-ancestors-form,,,Select the data for all of the ancestors of a given instance step ID.,
wf-step-get-descendts-form-2,Descendants for Step,Config-Workflow-Read,Configurator,FORM,wf-step-get-descendts-form,,,Select the data for descendants of a given instance step ID.,
wf-step-get-parents-form-2,Parent for Step,Config-Workflow-Read,Configurator,FORM,wf-step-get-parents-form,,,Select the data for the parent of a given instance step ID.,
wf-step-get-siblings-form-2,Siblings for Step,Config-Workflow-Read,Configurator,FORM,wf-step-get-siblings-form,,,Select the data for the sibling of a given instance step ID.,
wf-step-get-step-data-form-2,Step Data,Config-Workflow-Read,Configurator,FORM,wf-step-get-step-data-form,,,Select the data for a given instance step ID.,
wf-steps-by-duty-funct-form-2,Workflow Instance Steps By Function,Config-Workflow-Read,Configurator,FORM,wf-steps-by-duty-funct-form,,,Retrieve all workflow instance steps and associated data linked to workflow instances for a given function ID.,
wf-steps-by-model-name-form-2,Workflow Steps By Model Name,Config-Workflow-Read,Configurator,FORM,wf-steps-by-model-name-form,,,Select all the workflow table nodes for a given workflow model ID.,
workflow-step-transn-form-2,Step Transision Details,Config-Workflow-Read,Configurator,FORM,workflow-step-transn-form,,,Select the data for a given workflow model step transition ID.,
rid-upd-workflow-action-form,Update Workflow Model Workflow Action,Config-Workflow-Update,Configurator,FORM,rid-upd-workflow-action-form,,1,Update a workflow instance workflow action name.,
rid-upd-workflow-model-name-form,Update Workflow Model Details,Config-Workflow-Update,Configurator,FORM,rid-upd-workflow-model-name-form,,2,Update a workflow model name.,
rid-upd-workflow-rule-link-form,Update Workflow Rule to Step Transition Link,Config-Workflow-Update,Configurator,FORM,rid-upd-workflow-rule-link-form,,3,Update a workflow rule to step transition link.,
rid-upd-wf-step-status-defn-form,Update Workflow Instance Step Status Definition,Config-Workflow-Update,Configurator,FORM,rid-upd-wf-step-status-defn-form,,4,Update a workflow instance step status definition name.,
rid-upd-workflow-step-def-form,Update Workflow Model Step,Config-Workflow-Update,Configurator,FORM,rid-upd-workflow-step-def-form,,5,Update the data for a workflow model step.,
rid-upd-workflow-step-transn-form,Update Workflow Model Step Transition,Config-Workflow-Update,Configurator,FORM,rid-upd-workflow-step-transn-form,,6,Update a record for a workflow model step transition ID.,
rid-upd-workflow-output-def-form,Update Workflow Output Definition,Config-Workflow-Update,Configurator,FORM,rid-upd-workflow-output-def-form,,7,Update a workflow instance workflow output definition name.,
rid-upd-workflow-rule-form,Update Workflow Rule,Config-Workflow-Update,Configurator,FORM,rid-upd-workflow-rule-form,,8,Update a workflow output definition name.,
rid-upd-wf-step-status-def-psn-form,Update Step Status Defintion List Position,Config-Workflow-Update,Configurator,FORM,rid-upd-wf-step-status-def-psn-form,,9,Update the list position for a step status definition name.,
rid-upd-workflow-action-posn-form,Update List Position of Workflow Action,Config-Workflow-Update,Configurator,FORM,rid-upd-workflow-action-posn-form,,10,Update the list position for a workflow action.,
rid-upd-workflow-rule-posn-form,Update List Position for Workflow Rule,Config-Workflow-Update,Configurator,FORM,rid-upd-workflow-rule-posn-form,,11,Update the list position for a workflow rule.,
rid-upd-workflow-output-posn-form,Update List Position for Workflow Output,Config-Workflow-Update,Configurator,FORM,rid-upd-workflow-output-posn-form,,12,Update the list position for a workflow output name.,
rid-upd-workflow-model-nm-posn-form,Update List Position for Workflow Model,Config-Workflow-Update,Configurator,FORM,rid-upd-workflow-model-nm-posn-form,,13,Update the list position for a workflow model name.,
ControllingMenu,Controller,AdvancedMenu,Controller,,,,9,Document controller menu,
