FormFieldMenuID,MenuLabel,Type,Reference,Description,Order,Icon
MenuFindTagGroupID,Tag Groups With Edit Permission,TABLE,tag-groups-with-ed-perm,Tag groups for which the connected user has edit permission.,1,
MenuFindTagGroupID,All Tag Groups,TABLE,all-tag-group-id-names,All tag groups.,2,
MenuFindTagID,Tag Contains,FORM,tags-by-string-form,List tags containing string,1,
MenuFindTagID,Tag by Tree,FORM,tag-tree-by-tree-id-form,List all tags for a given tag tree,2,
MenuFindTagID,All Tags,TABLE,all-tags,List all tags,3,
MenuFindTagID,Tags by Doc,FORM,tags-by-doc-form,List tags by document,4,
MenuFindTagID,Tags by Tag Group,FORM,tags-by-tag-group-form,List tags by tag group,5,
MenuFindTagID,Editable Tags,TABLE,tags-with-ed-perm,List tags which the connected user may edit,6,
MenuFindTagRTreeID,Tag Relationship Trees With Edit Permission,TABLE,tag-trees-with-ed-perm,Tag relationship trees for the connected user has edit permission. ,1,
MenuFindTagRTreeID,All Tag Relationship Trees,TABLE,all-tag-tree-names,All tag relationship trees.,2,
MenuFindTransactionGroupID,Transaction Group Contains,FORM,tr-group-contains-form,Search transaction groups by transaction group note contains.,1,
MenuFindTransactionGroupID,All Transaction Groups,TABLE,all-transaction-groups,Lists all transaction groups,2,
MenuFindTransactionGroupID,Transaction Group by ID,FORM,transaction-group-direct-form,Find transaction group by ID,3,
MenuFindUserID,Username Contains,FORM,list-users-contains,Search user by name,1,
MenuFindUserID,Users by Role,FORM,list-users-by-roles,List users by role,2,
MenuFindUserID,All Users,TABLE,all-users,List all users,3,
MenuFindUserID,Recently Added Users,TABLE,all-recent-sids,Recently added users,4,
MenuFindUserID,Users by Duty Function,FORM,sids-by-duty-function-form,Users by duty function,5,
MenuFindUserID,Users by People List,FORM,persons-by-people-list-form,Users by people list,6,
MenuFindUserID,Controller Document Group Users,FORM,contr-doc-group-sids-form,Controller document group users,7,
MenuFindUserID,Controller File Group Users,FORM,contr-file-group-sids-form,Controller file group users,8,
MenuFindUserIDByPeopleList,Users by People List,FORM,persons-by-people-list-form,Users by people list,1,
MenuFindWFModelStepID,Model Step by Model,FORM,wf-steps-by-model-name-form,Select workflow model step from a model .,1,
MenuFindWFModelStepID,Model Step Direct,FORM,workflow-model-step-direct,Directly enter workflow model step ID,2,
