CommandId,Label,Roles,ActionType,Reference,Shortcut,Description,Icon,Actions,Objects,Fields,Weight
file-groups-by-fgeppl-form,File Groups for People List,Controller,FORM,file-groups-by-fgeppl-form,,Select file groups from records of file group to people list edit permission for a given people list.,,Read;List;Select;Search,Files,FileGroups;PeopleList,
file-groups-by-file-form,File Groups for File,,FORM,file-groups-by-file-form,,List the file groups linked to a given file id.,,Read;List;Select;Search,Files,FileGroups,
FileIntFields,File Integer Fields,,READ,all-file-int-fields,,Select all file integer field names.,,Read;List;Select;Search,Files,File Integer Fields,
file-int-values-by-file-form,Integer Values for File,,FORM,file-int-values-by-file-form,,List the integer values for a file.,,Read;List;Select;Search,Files,FileIntegerField,
file-ms-attr-by-file-form,Multi-Select Attributes Linked To File,,FORM,file-ms-attr-by-file-form,,List the multi-select attributes for a given file.,,Read;List;Select;Search,Files,FileMultiSelectList,
FileMsAttrFgLinks,File Multi-Select Attribute Filter Group Links,,READ,file-ms-attr-fg-links,,Retrieve a list of file multi-select attribute to filter group Link.,,Read;List;Select;Search,Files,FileMultiSelectList;FilterGroups,
file-ms-list-not-linkd-form,Multi-Select Attributes Not Already Linked To File,,FORM,file-ms-list-not-linkd-form,,List the multi-select attribute names which have not been linked to a given file.,,Read;List;Select;Search,Files,FileMultiSelectList,
FileMultiSelectAttributes,File Multi-Select Attributes,,READ,all-file-ms-attributes,,List all file multi-select attributes.,,Read;List;Select;Search,Files,FileMultiSelectList,
FileMultiSelectLists,File Multi-Select Lists,,READ,all-file-ms-lists,,Select all file multi-select list names.,,Read;List;Select;Search,Files,FileMultiSelectList,
FileNamecontains,Filename Contains,,FORM,filtered-filename-contains,,Search for files by filename-contains (filtered),,Read;List;Select;Search,Files,Filename,100
FilenameContains-All,Filename Contains (unfiltered),Reader;Editor;Reviewer;Controller;Configurator,FORM,list-filename-contains,,Search for files by filename-contains,,Read;List;Select;Search,Files,Filename,
file-radiob-attr-by-list-form,File Radio Button Attributes By List,,FORM,file-radiob-attr-by-list-form,,List file radio button attributes for a given radio button list name id,,Read;List;Select;Search,Files,FileRadioButtonList;FileRadioButtonAttribute,
FileRadioButtonAttributes,File Radio Button Attributes,,READ,all-file-radiob-attr,,Select all file radio button attribute,,Read;List;Select;Search,Files,FileRadioButtonList;FileRadioButtonAttribute,
FileRadioButtonLists,File Radio Button Attribute Lists,,READ,all-file-radiob-lists,,Select all file radio button list names. ,,Read;List;Select;Search,Files,FileRadioButtonList;FileRadioButtonAttribute,
file-rb-attr-by-file-form,Radio Button Attributes Linked To File,,FORM,file-rb-attr-by-file-form,,Select radio button attributes linked to a given file.,,Read;List;Select;Search,Files,,
FileRbAttrFgLinks,File Radio Button Attribute Filter Group Links,,READ,file-rb-attr-fg-links,,Retrieve a list of file radio button attribute to filter group Link.,,Read;List;Select;Search,Files,FileRadioButtonList;FilterGroups;FileRadioButtonAttribute,
file-rb-list-not-linkd-form,Radio Button Attributes Not Already Linked To File,,FORM,file-rb-list-not-linkd-form,,Select radio button attributes which are not yet linked to a given file.,,Read;List;Select;Search,Files,,
FileRealFields,File Real Fields,,READ,all-file-real-fields,,List all the file real number field names.,,Read;List;Select;Search,Files,FileRealNumberField,
file-real-values-by-file-form,Real Number Values for File,,FORM,file-real-values-by-file-form,,List the real number values for a file.,,Read;List;Select;Search,Files,FileRealNumberField,
files-by-co-ms-attr-form,Files for Common Object Multi-Select Attribute,,FORM,files-by-co-ms-attr-form,,List all the metadata for files for a given common object multi-select attribute.,,Read;List;Select;Search,Files,CommonObjectListName,
files-by-contr-file-grp-form,Files for Controller File Group,Controller,FORM,files-by-contr-file-grp-form,,Return metadata for files for a given controller level file group.,,Read;List;Select;Search,Files,ControllerFileGroups,
files-by-co-rb-attr-form,Files for Common Object Radio Button Attribute,,FORM,files-by-co-rb-attr-form,,List all the metadata for files for a given common object radio button attribute.,,Read;List;Select;Search,Files,CommonObjectListName,
files-by-doc-by-radiob-form,Files for Document By File Radio Button Attribute,,FORM,files-by-doc-by-radiob-form,,Select all of the files for a given document which have the given file radio button attribute.,,Read;List;Select;Search,Documents;Files,FileRadioButtonList;FileRadioButtonAttribute,
files-by-duty-function-form,Files By Duty Function,,FORM,files-by-duty-function-form,,Return metadata for files which are linked to a given duty function.,,Read;List;Select;Search,Files,DutyFunctionField,20
files-by-filter-group-form,Files By Filter Group,,FORM,files-by-filter-group-form,,Select file metadata for files by filter group.,,Read;List;Select;Search,Files,FilterGroups,
files-by-fnct-fld-name-form,Files By Function General Field Name,,FORM,files-by-fnct-fld-name-form,,List files for a duty function related general field name.  A filter group is applied.,,Read;List;Select;Search,Files,DutyFunctionField;FilterGroups;GeneralFieldName,30
files-by-fnct-list-name-form,Files By Duty Function List General Field Name,,FORM,files-by-fnct-list-name-form,,List files for a duty function list related general field name.  A filter group is applied.,,Read;List;Select;Search,Files,DutyFunctionField;FilterGroups;GeneralFieldName,20
files-by-function-list-form,Files By Function List,,FORM,files-by-function-list-form,,Return metadata for files which are linked to a given duty function list.,,Read;List;Select;Search,Files,DutyFunctionList,
files-by-ms-list-form,Files for Multi-Select Attribute,,FORM,files-by-ms-list-form,,Return metadata for files which are linked to a given multi-select attribute.,,Read;List;Select;Search,Files,FileMultiSelectList,
files-by-people-list-field-name-form,Files By People List General Field Name,Controller,FORM,files-by-people-list-field-name-form,,List files for a people list related general field name.  A filter group is applied.,,Read;List;Select;Search,Files,FilterGroups;GeneralFieldName;PeopleList,
files-by-people-list-form,Files By People List,Controller,FORM,files-by-people-list-form,,Return metadata for files which are linked to a given people list.,,Read;List;Select;Search,Files,PeopleList,
files-by-radio-button-form,Files For Radio Button Attribute,,FORM,files-by-radio-button-form,,Return metadata for files which are linked to a given multi-select attribute.,,Read;List;Select;Search,Files,FileRadioButtonList;FileRadioButtonAttribute,20
files-by-text-field-form,Files By Text Field,,FORM,files-by-text-field-form,,Return metadata for files where a given text field contains a given text string.,,Read;List;Select;Search,Files,FileFreeTextField,30
files-by-trans-group-form,Files By Transaction Group,,FORM,files-by-trans-group-form,,Select file data for a given transaction group id.,,Read;List;Select;Search,Files,Transaction Groups,20
files-by-user-fgn-form,Files By User Field Name,,FORM,files-by-user-fgn-form,,Return metadata for files linked to a given user field name.,,Read;List;Select;Search,Files;Users,GeneralFieldName,
files-by-user-form,Files By User,,FORM,files-by-user-form,,Return metadata for files linked to a given user.,,Read;List;Select;Search,Files;Users,GeneralFieldName,
files-date-after-form,Files Date After,,FORM,files-date-after-form,,Return metadata for files where a date record is after a given date.,,Read;List;Select;Search,Files,FileDateField,
files-date-before-form,Files Date Before,,FORM,files-date-before-form,,Return metadata for files where a date record is before a given date.  A filter group is applied.,,Read;List;Select;Search,Files,FileDateField,
files-date-between-form,Files Date Between,,FORM,files-date-between-form,,Return metadata for files where a date record is between given dates.,,Read;List;Select;Search,Files,FileDateField,
files-date-equals-form,Files Date Equals,,FORM,files-date-equals-form,,Return metadata for files where a date record is equal to a given date.,,Read;List;Select;Search,Files,FileDateField,
files-for-one-document-form,Files for One Document,,FORM,files-for-one-document-form,,Retrieve file IDs and data which are linked to the given document ID and filtered by filter group.,,Read;List;Select;Search,Documents;Files,,20
files-int-between-form,Files integer between,,FORM,files-int-between-form,,Select file IDs and metadata where an integer field is between given integer values.  A filter group is applied.,,Read;List;Select;Search,Files,FileIntegerField,
files-int-equals-form,Files Integer Equals,,FORM,files-int-equals-form,,Select file IDs and metadata according to a given integer value.  A filter group is applied.,,Read;List;Select;Search,Files,FileIntegerField,
files-int-greater-than-form,Files Integer Greater Than,,FORM,files-int-greater-than-form,,Select file IDs and metadata where the date for a given integer field greater than a given integer value. A filter gruopo is applied.,,Read;List;Select;Search,Files,FileIntegerField,
files-int-less-than-form,Files Integer Less Than,,FORM,files-int-less-than-form,,Select file IDs and metadata where an integer field is less than a given integer value.  A filter group is applied.,,Read;List;Select;Search,Files,FileIntegerField,
files-real-between-form,Files Real Number Between,,FORM,files-real-between-form,,Select file IDs and metadata according where a real number between two given values. A filter group is applied.,,Read;List;Select;Search,Files,FileRealNumberField,
files-real-equals-form,Files Real Number Equals,,FORM,files-real-equals-form,,Select file IDs and metadata according to a given real number value.  A filter group is applied.,,Read;List;Select;Search,Files,FileRealNumberField,
files-real-greater-form,Files Real Number Greater Than,,FORM,files-real-greater-form,,Select file IDs and metadata according where a real number of greater than a given value.  A filter group is applied.,,Read;List;Select;Search,Files,FileRealNumberField,
files-real-less-than-form,Files Real Number Less Than,,FORM,files-real-less-than-form,,Select file IDs and metadata according where a real number of less than a given value.  A filter group is applied.,,Read;List;Select;Search,Files,FileRealNumberField,
FileTextFields,File Text Fields,,READ,all-file-text-fields,,List all of the file free text field names.,,Read;List;Select;Search,Files,FileFreeTextField,
file-text-values-by-file-form,Text Values for File,,FORM,file-text-values-by-file-form,,List the text values for a file.,,Read;List;Select;Search,Files,FileFreeTextField,
FilterGroupAttributes1,Filter Group Attributes,,FORM,all-filter-group-attr-form,,Select all the attributes linked to a given filter group id.,,Read;List;Select;Search,,FilterGroups,20
filter-group-form,Filter Group Description,,FORM,filter-group-form,,Select one filter group by filter group id.,,Read;List;Select;Search,,FilterGroups,
FilterGroups1,List All Filter Groups,Authorizer;Configurator;Controller;Editor;Reviewer;Reader,READ,all-filter-groups,,Select all filter groups,,Read;List;Select;Search,,FilterGroups,
f-list-by-doc-group-form,Function Lists By Doc Group for Connected User ,,FORM,f-list-by-doc-group-form,,List all function List by document group id. Restricted to only those document groups the user has permission for.,,Read;List;Select;Search,Documents,DocumentGroups,
fl-obj-ms-lnk-by-fl-form,Common Object Multi-Select Objects for File,,FORM,fl-cm-obj-ms-lnk-by-fl-form,,List all file common object multi-select list objects for a given file.,,Read;List;Select;Search,Files,CommonObjectListName,
fl-obj-rb-lnk-by-fl-form,Common Object Radio Button Objects for File,,FORM,fl-cm-obj-rb-lnk-by-fl-form,,List all file common object radio button objects for a given file.,,Read;List;Select;Search,Files,CommonObjectListName,
fnct-lists-by-function-form,Function Lists By Duty Function,,FORM,fnct-lists-by-function-form,,List all of the function List for a given duty function form the function List table.,,Read;List;Select;Search,,DutyFunctionField,
FnctLstsConnUser,Function Lists For Connected User,Authorizer;Configurator;Controller;Editor;Reviewer;Reader,READ,function-lists-for-connected-user,,List all duty function list which the connected user is linked to.,,Read;List;Select;Search,Users,DutyFunctionField,
form-group-form,Form Group Description,,FORM,form-group-form,,Select one form group by form group id.,,Read;List;Select;Search,Files,FormGroups,
FormGroups,Form Groups,,READ,all-form-groups,,Select all form groups.,,Read;List;Select;Search,Forms,Forms;FormGroups,
form-name-form,Form Name Description,,FORM,form-name-form,,Select a form name.,,Read;List;Select;Search,,Forms,
FunctionListNames,Function List Names,,READ,all-function-lst-names,,List all duty function list name records.,,Read;List;Select;Search,,DutyFunctionField,
FunctionLists,Function Lists,,READ,all-function-lists,,List all duty function list records.,,Read;List;Select;Search,,DutyFunctionField,
function-lists-by-doc-form,Function Lists for Document,,FORM,function-lists-by-doc-form,,List all of the functions linked to a given document ID.,,Read;List;Select;Search,Documents,DutyFunctionList,
function-lists-by-file-form,Function Lists for File,,FORM,function-lists-by-file-form,,List all of the function List linked to a given file ID.,,Read;List;Select;Search,Files,DutyFunctionList,
functions-by-doc-form,Functions for Document,,FORM,functions-by-doc-form,,List all of the functions linked to a given document ID.,,Read;List;Select;Search,Documents,DutyFunctionField,
functions-by-file-form,Functions for File,,FORM,functions-by-file-form,,List all of the functions linked to a given file ID.,,Read;List;Select;Search,Files,DutyFunctionField,
functions-by-fnct-list-form,Duty Functions for Function List,,FORM,functions-by-fnct-list-form,,List all duty functions for a given function list from the function List table.,,Read;List;Select;Search,,DutyFunctionField,
GenFieldNames,General Field Names,,READ,general-field-names,,List general field names,,Read;List;Select;Search,,GeneralFieldName,
ListAllDocGroupNames,All Document Group Names,Authorizer,READ,all-doc-group-names,,List all document group names.,,Read;List;Select;Search,Documents,DocumentGroups,
ListAllFiles,List All Files -- Unfiltered ,Controller;Editor;Reader,CHAIN,list-all-files-with-numbers,,List all files,,Read;List;Select;Search,Files,,
ListAllFormGroupOwners,Form Group Owners,Authorizer,READ,all-form-group-owners,,List all form group owners.,,Read;List;Select;Search,Files;Forms,FormGroups,
ListAllUsers,List All Users,Authorizer;Controller,READ,all-users,,List all users in the system.,,Read;List;Select;Search,Users,,
list-docid-contains-with-fg-form,Document ID Contains.,,FORM,list-docid-contains-with-fg,,Search by document ID contains.  Applies the default filter group if none supplied.,,Read;List;Select;Search,Documents,FilterGroups,
ListIndividualBrowsingTrees,Personal Browsing Trees,,READ,read-individual-browsing-trees,,List tag browsing trees that are owned by the connected user,,Read;List;Select;Search,Tag Browsing Trees,TagBrowsingTrees;Tags,60
Nameplate,Product Nameplate,,READ,nameplate,,Display the product nameplate details,,Read;List;Select;Search,Nameplate,,
new-document-command,Create and Edit Document ID,Controller,CHAIN,new-document,,Create a new document ID and then edit the metadata,,Create;Insert,Document,,60
new-document-command-restr,Create and Edit Document ID (Editor Role),Editor;Controller,CHAIN,new-document-restr,,Create a new document ID and then edit the metadata.  For Editor role.,,Create;Insert,Document,,
NonPerPplListNames,Non-Personal People List Names,,READ,non-pers-pple-lst-nms,,List non-personal people lists,,Read;List;Select;Search,,PeopleList,
NumberOfAllDocs,Number Of All Documents,,READ,number-of-all-docs,,,,Read;List;Select;Search,Documents,,
NumberOfAllFiles,Number Of All Files,,READ,number-of-all-files,,,,Read;List;Select;Search,Files,,
one-doc-all-data-form,One Document Data With Files -- Unfiltered,,FORM,one-doc-all-data-form,,Retrieve all the data for a document and all associated files according to a form ID.,,Read;List;Select;Search,Documents;Files,Forms,
one-document-data-form,One Document Data With Files,,FORM,one-document-data-form,,List document metdata and also the file metadata of the key file linked to the document id,,Read;List;Select;Search,Documents;Files,,
PeopleListNames,People List Names,,READ,all-people-list-names,,List all people list name records.,,Read;List;Select;Search,,PeopleList,
PeopleLists,All People Lists,,READ,all-people-lists,,List all people list records.,,Read;List;Select;Search,,PeopleList,
people-lists-by-doc-form,People Lists for Document,,FORM,people-lists-by-doc-form,,List all of the people List linked to a given document ID.,,Read;List;Select;Search,Documents,PeopleList,
people-lists-by-file-form,People Lists for File,,FORM,people-lists-by-file-form,,List all of the people List linked to a given file ID.,,Read;List;Select;Search,Files,PeopleList,
persons-by-people-list-form,Users By People List,,FORM,persons-by-people-list-form,,List all the individuals for a given people list.,,Read;List;Select;Search,Users,PeopleList,
p-list-by-doc-group-form,People Lists By Doc Group for Connected User,Controller,FORM,p-list-by-doc-group-form,,List all of the people lists with edit permission for a given document group.  Restricted to only those document groups for which the user has permission.,,Read;List;Select;Search,Documents,DocumentGroups;PeopleList,
PplListConnectedUser,People Lists for Connected User,Authorizer;Configurator;Controller;Editor;Reviewer;Reader,READ,people-lists-for-connected-user,,List people list for the connected user,,Read;List;Select;Search,,PeopleList,
RadioBByList,Document Radio Buttons By List,,FORM,list-doc-radio-buttons-by-list,,List document radio buttons for a given radio button list. ,,Read;List;Select;Search,Documents,DocRadioButtonList;DocRadioButtonAttribute,
ReadDocByDocGrp,Documents By Doc Group,,FORM,read-all-docs-by-doc-group,,List all documents for a given document group.,,Read;List;Select;Search,Documents,DocumentGroups,
ReaderDocuments-TGS,Transaction Groups By String,,FORM,tr-group-contains-form,,List transaction groups by string.,,Read;List;Select;Search,,Transaction Groups,
read-log-by-file-id-form,List Read Log Records for File,Controller,FORM,read-log-by-file-id-form,,Select read log entries for a specific file ID.,,Read;List;Select;Search,Files,Log,
read-log-by-filename-form,List Read Log Records By Filename,Controller,FORM,read-log-by-filename-form,,Select read log entries by filename pattern.,,Read;List;Select;Search,Files,Filename;Log,
read-log-by-sid-id-form,List Read Log Records By User,Controller,FORM,read-log-by-sid-id-form,,Select read log entries for a specific user ID.,,Read;List;Select;Search,Users,Log,
read-log-by-username-form,List Read Log Records By Username,Controller,FORM,read-log-by-username-form,,Select read log entries by username pattern.,,Read;List;Select;Search,Users,Log,
read-log-date-between-form,List Read Log Records By Date Between,Controller,FORM,read-log-date-between-form,,Select read log entries between specified dates.,,Read;List;Select;Search,,Log,
ReadPrivileges,List User Privileges,Authorizer;Configurator;Controller;Editor;Reviewer;Reader,READ,read-privileges,,List the privileges for the connected user.,,Read;List;Select;Search,Users,Privileges,
read-privileges-by-user-form,Privileges By User,Authorizer,FORM,read-privileges-by-user-form,,List privileges for a given user.,,Read;List;Select;Search,Users,Privileges,
ReadRevokeLog,Revoke Log,Authorizer,READ,read-revoke-log,,List the contents of the privileges revoke log.,,Read;List;Select;Search,Users,Privileges;Log,
recent-documents-form,Recently Created Documents,Controller;Editor;Reader;Reviewer,READ,recent-documents,,Recently created documents.  Duration determined by the Recently Created Duration field in Global Settings.,,Read;List;Select;Search,Documents,,150
recent-files-form,Recently Created Files,,READ,recent-files,,Recently created files.  Duration determined by the Recently Created Duration field in Global Settings.,,Read;List;Select;Search,Files,,10
R-F-OneFileByFileID,One File By File ID,,FORM,sel-one-file-data-form-direct,,Retrieve one file by entering the file ID number.,,Read;List;Select;Search,Files,File ID,
rid-auth-contr-doc-group-user-form,Link User To Controller Doc Group,Authorizer,FORM,rid-auth-contr-doc-group-user-form,,Link a user ID to a controller level document group to authorize the user.,,Link,Documents,DocumentGroups,
rid-auth-contr-file-group-user-form,Link User To Controller Level File Group,Authorizer,FORM,rid-auth-contr-file-group-user-form,,Link a user ID to a controller level file group to authorize the user.,,Link,Files,FileGroups,
rid-auth-doc-group-viewer-form,Authorize User for Viewing Restricted Doc Group,Authorizer,FORM,rid-auth-doc-group-viewer-form,,Authorize a user to view a restricted document group.,,Authorize;Create;Insert;Grant,Documents,DocumentGroups,
rid-auth-form-group-owner-form,Authorize Form Group Owner,Authorizer,FORM,rid-auth-form-group-owner-form,,Authorize a user as a form group owner.,,Authorize;Create;Insert;Grant,Files;Users;Forms,FormGroups,
rid-auth-user-role-form,Authorize User Role,Authorizer,FORM,rid-auth-user-role-form,,authorize a user role.,,Authorize;Create;Insert;Grant,Users,Role,
rid-contr-file-group-link-update-form,Update File To Controller File Group Link,Controller,FORM,rid-contr-file-group-link-update-form,,Update a file to controller level file group link.,,Update;Change;Revise,Files,FileGroups,
rid-del-any-form-id-form,Delete Form,Configurator,FORM,rid-del-any-form-id-form,,Delete any form ID record regardless of ownership. Is owned by the configuring schema.,,Delete,Forms,Forms,
rid-del-book-in-id-form-command,Delete Book In Transaction,Editor;Controller,FORM,rid-del-book-in-id-form,,Delete a book in transaction.,,Delete,Booking;Documents;Files,Booking,10
rid-del-common-object-form,Delete Common Object,Controller,FORM,rid-del-common-object-form,,Delete a common object record.,,Delete,,CommonObjectListName,
rid-del-common-obj-list-item-form,Delete Common Object List Item,Configurator;Controller,FORM,rid-del-common-obj-list-item-form,,Delete a common object list item.,,Delete,,CommonObjectListName,
rid-del-com-obj-attribute-form,Delete Common Object Attribute,Configurator,FORM,rid-del-com-obj-attribute-form,,Delete a common object attribute record.,,Delete,,CommonObjectAttributes,
rid-del-com-obj-list-name-form,Delete Common Object List,Configurator,FORM,rid-del-com-obj-list-name-form,,Delete a common object list name record.,,Delete,,CommonObjectListName,
rid-del-contr-doc-group-link-form,Delete Doc To Controller Doc Group Link,Controller,FORM,rid-del-contr-doc-group-link-form,,Delete a document to controller level document group link.,,Delete,Documents,DocumentGroups,
rid-del-contr-doc-group-name-form,Delete Controller Document Edit Group,Authorizer,FORM,rid-del-contr-doc-group-name-form,,Delete a controller level document edit group name.,,Delete,Documents,ControllerDocumentGroups,
rid-del-contr-doc-group-sid-form,Revoke Controller Doc Group View Permission,Authorizer,FORM,rid-del-contr-doc-group-sid-form,,Delete a user ID to controller level document group link to revoke authorization.,,Delete,Documents,DocumentGroups,
rid-del-contr-file-group-link-form,Delete File To Controller File Group Link,Controller,FORM,rid-del-contr-file-group-link-form,,Delete a file to controller level file group link.,,Delete,Files,ControllerFileGroups,
rid-del-contr-file-group-name-form,Delete Controller File Edit Group,Authorizer,FORM,rid-del-contr-file-group-name-form,,Delete a controller level file edit group name.,,Delete,Files,ControllerFileGroups,
rid-del-contr-file-group-sid-form,Revoke Controller File Group Permission,Authorizer,FORM,rid-del-contr-file-group-sid-form,,Delete a user ID to controller level file group link to revoke authorization.,,Delete,Files,FileGroups,
rid-del-doc-date-field-name-form,Delete Doc Date Field,Configurator,FORM,rid-del-doc-date-field-name-form,,Delete a document date field name record.,,Delete,Documents,DocDateField,
rid-del-doc-date-value-form,Delete Doc To Date Field Link,Editor,FORM,rid-del-doc-date-value-form,,Delete a document to date field name link.,,Delete,Documents,DocDateField,
rid-del-doc-funct-list-link-form,Delete Doc To Duty Function List Link,Controller;Editor,FORM,rid-del-doc-funct-list-link-form,,Delete a document to duty function list record.,,Delete,Documents,DutyFunctionField,
rid-del-doc-gp-ed-perm-funct-form,Delete Doc Group Edit Permission for Function List ,Controller,FORM,rid-del-doc-gp-ed-perm-funct-form,,Delete a record from a document group edit permission for function lists.,,Delete,Documents,DocumentGroups,
rid-del-doc-gp-ed-perm-people-form,Delete Doc Group Edit Permission for People List Link,Controller,FORM,rid-del-doc-gp-ed-perm-people-form,,Delete a record from a document group edit permission for people lists.,,Delete,Documents,DocumentGroups;PeopleList,
rid-del-doc-group-link-restr-form,Delete Doc To Doc Group Link for Connected User,Editor;Controller,FORM,rid-del-doc-group-link-restr-form,,Delete a document to document group record. Only applies to documents and document groups for which the user has rights.,,Delete,Documents,DocumentGroups,
rid-del-doc-group-name-rstr-form,Delete Document Group,Controller,FORM,rid-del-doc-group-name-rstr-form,,Delete a document group. Only if the connected user has right to the document group.,,Delete,Documents,DocumentGroups,
rid-del-doc-group-viewer-perm-form,Revoke Doc Group View Permission,Authorizer,FORM,rid-del-doc-group-viewer-perm-form,,Delete a document group view permission record.,,Delete,Documents,DocumentGroups,
rid-del-doc-int-field-name-form,Delete a Document Integer Field,Configurator,FORM,rid-del-doc-int-field-name-form,,Delete a document integer field name.,,Delete,Documents,DocIntegerField,
rid-del-doc-int-value-form,Delete Doc To Integer Field Link,Controller;Editor,FORM,rid-del-doc-int-value-form,,Delete a document to integer field link.,,Delete,Documents,DocIntegerField,
rid-del-doc-ms-attr-fg-link-form,Delete Doc Multi-Select Attribute To Filter Group Link,Configurator,FORM,rid-del-doc-ms-attr-fg-link-form,,Delete a document multi-select attribute ID to filter group ID link.,,Delete,Documents,DocMultiSelectList;FilterGroups,
rid-del-doc-ms-attribute-form,Delete a Docment Multi-Select Attribute,Configurator,FORM,rid-del-doc-ms-attribute-form,,Delete a document multi-select attribute.,,Delete,Documents,DocMultiSelectList,
rid-del-doc-ms-list-form,Delete a Doc Multi-Select List,Configurator,FORM,rid-del-doc-ms-list-form,,Delete a document multi-select list name record.,,Delete,Documents,DocMultiSelectList,
rid-del-doc-multi-select-link-form,Delete Doc To Multi-Select List Attribute Link,Controller;Editor,FORM,rid-del-doc-multi-select-link-form,,Delete a document multi-select link record.,,Delete,Documents,DocMultiSelectList,
rid-del-doc-people-list-link-form,Delete Document To People List Link,Controller;Editor,FORM,rid-del-doc-people-list-link-form,,Delete a document to people list record.,,Delete,Documents,PeopleList,
rid-del-doc-radiob-attr-form,Delete Doc Radio Button Attribute,Configurator,FORM,rid-del-doc-radiob-attr-form,,Delete a document radio button attribute.,,Delete,Documents,DocRadioButtonList;DocRadioButtonAttribute,
rid-del-doc-radiob-link-form,Delete Doc Radio Button Attribute Link,Controller;Editor,FORM,rid-del-doc-radiob-link-form,,Delete a document radio button link.,,Delete,Documents,DocRadioButtonList;DocRadioButtonAttribute,
rid-del-doc-radiob-list-form,Delete Doc Radio Button List,Configurator,FORM,rid-del-doc-radiob-list-form,,Delete a document radio button list.,,Delete,Documents,DocRadioButtonList;DocRadioButtonAttribute,
rid-del-doc-rb-attr-fg-link-form,Delete Doc Radio Button Attribute To Filter Group Link,Configurator,FORM,rid-del-doc-rb-attr-fg-link-form,,Delete a document radio button attribute ID to filter group ID link.,,Delete,Documents,DocRadioButtonList;FilterGroups;DocRadioButtonAttribute,
rid-del-doc-real-field-name-form,Delete Doc Real Number Field,Configurator,FORM,rid-del-doc-real-field-name-form,,Delete a document real number field.,,Delete,Documents,DocRealNumberField,
rid-del-doc-real-value-form,Delete Doc Real Number Field Link,Controller;Editor,FORM,rid-del-doc-real-value-form,,Delete a document to real number field link.,,Delete,Documents,DocRealNumberField,
rid-del-doc-tag-form,Delete Document Tag,Controller;Editor,FORM,rid-del-doc-tag-form,,Delete a document tag.,,Delete,Documents,Tags,
rid-del-doc-text-field-name-form,Delete Doc Free Text Field,Configurator,FORM,rid-del-doc-text-field-name-form,,Delete a document free text field name.,,Delete,Documents,DocFreeTextField,
rid-del-doc-text-value-form,Delete Doc To Text Field Link,Controller;Editor,FORM,rid-del-doc-text-value-form,,Delete a document to text field name link.,,Delete,Documents,DocFreeTextField,
rid-del-doc-to-com-obj-ms-link-form,Delete Doc To Common Object Link via Multi-Select List,Editor,FORM,rid-del-doc-to-com-obj-ms-link-form,,Delete a document to common object link via a multi-select list.,,Delete,Documents,CommonObjectListName,
rid-del-doc-to-com-obj-rb-link-form,Delete Doc To Common Object Link via Radio Button List,Editor,FORM,rid-del-doc-to-com-obj-rb-link-form,,Delete a document to common object link via a radio button list.,,Delete,Documents,CommonObjectListName,
rid-del-doc-to-function-link-form,Delete Doc To Duty Function Link,Controller;Editor,FORM,rid-del-doc-to-function-link-form,,Delete a document to duty function record.,,Delete,Documents,DutyFunctionField,
rid-del-document-id-form,Delete Document ID,Controller;Editor,FORM,rid-del-document-id-form,,Delete a document ID.,,Delete,Documents,Document ID,
rid-del-doc-user-link-form,Delete Document To User Link,Editor;Controller,FORM,rid-del-doc-user-link-form,,Delete a document to general field name for user record.,,Delete,Documents;Users,GeneralFieldName,
rid-del-doc-xref-form,Delete Document Cross Reference Link,Controller;Editor,FORM,rid-del-doc-xref-form,,Delete a document cros reference link. ,,Delete,Documents,CrossReference,
rid-del-duty-function-form,Delete Duty Function,Controller,FORM,rid-del-duty-function-form,,Delete a duty function name record.,,Delete,Duty Function,DutyFunctionField,
rid-del-duty-function-sid-link-form,Delete Duty Function To User Link,Controller,FORM,rid-del-duty-function-sid-link-form,,Delete a duty function to user ID record link record.,,Delete,Users,DutyFunctionField,
rid-del-file-date-field-name-form,Delete File Date Field,Configurator,FORM,rid-del-file-date-field-name-form,,Delete a file date field name.,,Delete,Files,FileDateField,
rid-del-file-date-value-form,Delete File To Date Field Link,Controller;Editor,FORM,rid-del-file-date-value-form,,Delete a file to date field link.,,Delete,Files,FileDateField,
rid-del-file-doc-link-form,Delete File To Doc Link,Controller;Editor,FORM,rid-del-file-doc-link-form,,Delete a file-document link.,,Delete,Documents;Files,,
rid-del-file-form,Delete File,Controller;Editor,FORM,rid-del-file-form,,Delete a file.,,Delete,Files,,
rid-del-file-funct-list-link-form,Delete File To Duty Function List Link,Controller;Editor,FORM,rid-del-file-funct-list-link-form,,Delete a file to duty function list record.,,Delete,Files,DutyFunctionField,
rid-del-file-gp-ed-perm-funct-form,Delete Edit Permission for User Function List To File Group,Controller,FORM,rid-del-file-gp-ed-perm-funct-form,,Delete a record to de-authorize edit permission for a user function list to a file group.,,Delete,Files,FileGroups,
rid-del-file-gp-ed-perm-people-form,Delete File Group To People List Link for Edit Permission,Controller,FORM,rid-del-file-gp-ed-perm-people-form,,Delete a record for file group to people list link for file edit permission.,,Delete,Files,FileGroups;PeopleList,
rid-del-file-group-link-form,Delete File To File Group Link,Controller;Editor,FORM,rid-del-file-group-link-form,,Delete a file to file group link record.,,Delete,Files,FileGroups,
rid-del-file-group-name-form,Delete File Group,Controller,FORM,rid-del-file-group-name-form,,Delete a file group name record.,,Delete,Files,FileGroups,
